Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1, 1, LR, LR, 0.0, 0.0, 0.04017412338651314, 0.018654254979865496, 100.0, 100.0
1, 2, LR, LR, 0.0, 0.0, 0.043230031430872416, 0.021184477726174468, 100.0, 100.0
1, 3, LR, LR, 0.0, 0.0, 0.048354368474048566, 0.024076781586972542, 100.0, 100.0
1, 4, LR, LR, 0.0, 0.0, 0.05235738376800842, 0.022379971622081284, 100.0, 100.0
1, 5, LR, LR, 0.0, 0.0, 0.04656674883053191, 0.02341878880335632, 100.0, 100.0
1, 6, LR, LR, 0.0, 0.0, 0.048824932551228335, 0.02485399835565117, 100.0, 100.0
1, 7, LR, LR, 0.0, 0.0, 0.05553714858242032, 0.025640024153213932, 100.0, 100.0
1, 8, LR, LR, 0.0, 0.0, 0.06015947361315679, 0.026133094114415785, 100.0, 100.0
1, 9, LR, LR, 0.0, 0.0, 0.05963355450716145, 0.027375568299603886, 100.0, 100.0
1, 10, LR, LR, 0.0, 0.0, 0.058490828084453, 0.028497123153957388, 100.0, 100.0
1, 11, LR, LR, 0.0, 0.0, 0.06585076114570347, 0.02760596555822036, 100.0, 100.0
1, 12, LR, LR, 0.0, 0.0, 0.0687031037950025, 0.02765979205860811, 100.0, 100.0
1, 13, LR, LR, 0.0, 0.0, 0.07373237498238427, 0.02779553918277516, 100.0, 100.0
1, 14, LR, LR, 0.0, 0.0, 0.07578492189530146, 0.028131804714313133, 100.0, 100.0
1, 15, LR, LR, 0.0, 0.0, 0.07369744132864224, 0.03079259055001395, 100.0, 100.0
1, 16, LR, LR, 0.0, 0.0, 0.07143181379605082, 0.032442907853560014, 100.0, 100.0
1, 17, LR, LR, 0.0, 0.0, 0.0777876051326156, 0.036275189682092084, 100.0, 100.0
1, 18, LR, LR, 0.0, 0.0, 0.07607650391362154, 0.0389122132504924, 100.0, 100.0
1, 19, LR, LR, 0.0, 0.0, 0.0775928045228795, 0.03969166619437081, 100.0, 100.0
1, 20, LR, LR, 0.0, 0.0, 0.07411881531569035, 0.03716953234239058, 100.0, 100.0
1, 21, LR, LR, 0.0, 0.0, 0.0655452186411019, 0.035494330417679014, 100.0, 100.0
1, 22, LR, LR, 0.0, 0.0, 0.07543296482353468, 0.03747317418886747, 100.0, 100.0
1, 23, LR, LR, 0.0, 0.0, 0.08610953067062503, 0.03810733661316989, 100.0, 100.0
1, 24, LR, LR, 0.0, 0.0, 0.07996648434083779, 0.036033052868313264, 100.0, 100.0
1, 25, LR, LR, 0.0, 0.0, 0.07339347487409363, 0.03640072912142422, 100.0, 100.0
1, 26, LR, LR, 0.0, 0.0, 0.08429812124361953, 0.039620132236690316, 100.0, 100.0
1, 27, LR, LR, 0.0, 0.0, 0.07663050322674897, 0.0371978608044711, 100.0, 100.0
1, 28, LR, LR, 0.0, 0.0, 0.07011043779702902, 0.03571413331112619, 100.0, 100.0
1, 29, LR, LR, 0.0, 0.0, 0.07118989159937536, 0.03677614529927572, 100.0, 100.0
1, 30, LR, LR, 0.0, 0.0, 0.0740307185158366, 0.039803585763704984, 100.0, 100.0
1, 31, LR, LR, 0.0, 0.0, 0.07847798910882965, 0.04220759868621826, 100.0, 100.0
1, 32, LR, LR, 0.0, 0.0, 0.07128616351099823, 0.0415548496559018, 100.0, 100.0
1, 33, LR, LR, 0.0, 0.0, 0.06944900802712245, 0.03986056915110788, 100.0, 100.0
1, 34, LR, LR, 0.0, 0.0, 0.09239151441035426, 0.04701865180421271, 100.0, 100.0
1, 35, LR, LR, 0.0, 0.0, 0.11339893689742887, 0.05425767844679665, 100.0, 100.0
1, 36, LR, LR, 0.0, 0.0, 0.12834187272795505, 0.06542117779071514, 100.0, 100.0
1, 37, LR, LR, 0.0, 0.0, 0.1361452802315731, 0.0648297794529649, 100.0, 100.0
1, 38, LR, LR, 0.0, 0.0, 0.12141911007085684, 0.06324558570736745, 100.0, 100.0
1, 39, LR, LR, 0.0, 0.0, 0.13956740766367445, 0.06985759213973916, 100.0, 100.0
1, 40, LR, LR, 0.0, 0.0, 0.15790383447151388, 0.0763805112359244, 100.0, 100.0
1, 41, LR, LR, 0.0, 0.0, 0.17532516572265952, 0.0781160526061326, 100.0, 100.0
1, 42, LR, LR, 0.0, 0.0, 0.16760434580199834, 0.07674726537756017, 100.0, 100.0
1, 43, LR, LR, 0.0, 0.0, 0.1603048271008757, 0.07938758850097656, 100.0, 100.0
1, 44, LR, LR, 0.0, 0.0, 0.14452108659706728, 0.0716341192072088, 100.0, 100.0
1, 45, LR, LR, 0.0, 0.0, 0.1961215722429736, 0.08010782436891035, 100.0, 100.0
1, 46, LR, LR, 0.0, 0.0, 0.20897817438841745, 0.08789113147110589, 100.0, 100.0
1, 47, LR, LR, 0.0, 0.0, 0.2156918659325053, 0.09284147704388462, 100.0, 100.0
1, 48, LR, LR, 0.0, 0.0, 0.2313830910863372, 0.0966083263528758, 100.0, 100.0
1, 49, LR, LR, 0.0, 0.0, 0.22721542256730445, 0.09650769344595976, 100.0, 100.0
1, 50, LR, LR, 0.0, 0.0, 0.20695421722356705, 0.10015206808572287, 100.0, 100.0
1, 51, LR, LR, 0.0, 0.0, 0.19270393435294508, 0.09051512027608938, 100.0, 100.0
1, 52, LR, LR, 0.0, 0.0, 0.18176689928836526, 0.0940736098722978, 100.0, 100.0
1, 53, LR, LR, 0.0, 0.0, 0.1905820879695641, 0.09419664285950742, 100.0, 100.0
1, 54, LR, LR, 0.0, 0.0, 0.2148733031524464, 0.10040339238226076, 100.0, 100.0
1, 55, LR, LR, 0.0, 0.0, 0.2307256031202221, 0.11454116565555167, 100.0, 100.0
1, 56, LR, LR, 0.0, 0.0, 0.20173272992824087, 0.10512239854414383, 100.0, 100.0
1, 57, LR, LR, 0.0, 0.0, 0.18543960709468396, 0.1014340578854739, 100.0, 100.0
1, 58, LR, LR, 0.0, 0.0, 0.17945022124620186, 0.09854207273389473, 100.0, 100.0
1, 59, LR, LR, 0.0, 0.0, 0.19177370585943146, 0.11017596203347912, 100.0, 100.0
1, 60, LR, LR, 0.0, 0.0, 0.23676438616478196, 0.13425577603853667, 100.0, 100.0
1, 61, LR, LR, 0.0, 0.0, 0.28291541325510744, 0.12896489288847324, 100.0, 100.0
1, 62, LR, LR, 0.0, 0.0, 0.2683940985294714, 0.125028928120931, 100.0, 100.0
1, 63, LR, LR, 0.0, 0.0, 0.2845348537663049, 0.12776178870696187, 100.0, 100.0
1, 64, LR, LR, 0.0, 0.0, 0.270685801143738, 0.1327838793478377, 100.0, 100.0
1, 65, LR, LR, 0.0, 0.0, 0.3181753294798764, 0.14346928847463508, 100.0, 100.0
1, 66, LR, LR, 0.0, 0.0, 0.2974967991772062, 0.1538845559825068, 100.0, 100.0
1, 67, LR, LR, 0.0, 0.0, 0.2758207175775923, 0.14695931528950787, 100.0, 100.0
1, 68, LR, LR, 0.0, 0.0, 0.2731057363258621, 0.1356115810206679, 100.0, 100.0
1, 69, LR, LR, 0.0, 0.0, 0.24409085769928504, 0.1183699317600416, 100.0, 100.0
1, 70, LR, LR, 0.0, 0.0, 0.22908655784380416, 0.11361153229423193, 100.0, 100.0
1, 71, LR, LR, 0.0, 0.0, 0.2146042966971801, 0.11916162634408603, 100.0, 100.0
1, 72, LR, LR, 0.0, 0.0, 0.28609031838143345, 0.14849356573981207, 100.0, 100.0
1, 73, LR, LR, 0.0, 0.0, 0.3216051094508202, 0.16404539674192994, 100.0, 100.0
1, 74, LR, LR, 0.0, 0.0, 0.3243225246732998, 0.1615648898449573, 100.0, 100.0
1, 75, LR, LR, 0.0, 0.0, 0.3273036304005635, 0.15510380786398184, 100.0, 100.0
1, 76, LR, LR, 0.0, 0.0, 0.3364910352035077, 0.1536745195803435, 100.0, 100.0
1, 77, LR, LR, 0.0, 0.0, 0.2666869727640909, 0.13603917412135913, 100.0, 100.0
1, 78, LR, LR, 0.0, 0.0, 0.29815692107973496, 0.1377337704534116, 100.0, 100.0
1, 79, LR, LR, 0.0, 0.0, 0.2667412392478365, 0.13920434134347098, 100.0, 100.0
1, 80, LR, LR, 0.0, 0.0, 0.22063787680867886, 0.12883271584963665, 100.0, 100.0
1, 81, LR, LR, 0.0, 0.0, 0.21884796068077256, 0.12892587757643376, 100.0, 100.0
1, 82, LR, LR, 0.0, 0.0, 0.2461775489801033, 0.13649093021046033, 100.0, 100.0
1, 83, LR, LR, 0.0, 0.0, 0.2735550051790354, 0.14499973318430298, 100.0, 100.0
1, 84, LR, LR, 0.0, 0.0, 0.24184929914468575, 0.12362551555953212, 100.0, 100.0
1, 85, LR, LR, 0.0, 0.0, 0.2309166793467338, 0.11922744624522508, 100.0, 100.0
1, 86, LR, LR, 0.0, 0.0, 0.2449242726056933, 0.13154131074191472, 100.0, 100.0
1, 87, LR, LR, 0.0, 0.0, 0.26590419662084425, 0.13654189057402558, 100.0, 100.0
1, 88, LR, LR, 0.0, 0.0, 0.27421717596075923, 0.13948906324186378, 100.0, 100.0
1, 89, LR, LR, 0.0, 0.0, 0.2732496575987258, 0.13954814275105795, 100.0, 100.0
1, 90, LR, LR, 0.0, 0.0, 0.2365337518317599, 0.12714257770114476, 100.0, 100.0
1, 91, LR, LR, 0.0, 0.0, 0.2141035164736603, 0.12024441394177113, 100.0, 100.0
1, 92, LR, LR, 0.0, 0.0, 0.22405043385904425, 0.12510189202313865, 100.0, 100.0
1, 93, LR, LR, 0.0, 0.0, 0.24830385848207226, 0.1274182070856509, 100.0, 100.0
1, 94, LR, LR, 0.0, 0.0, 0.2329277226593714, 0.13380054828247734, 100.0, 100.0
1, 95, LR, LR, 0.0, 0.0, 0.2548510481049798, 0.1344895652644542, 100.0, 100.0
1, 96, LR, LR, 0.0, 0.0, 0.2490397287040934, 0.12532481209176485, 100.0, 100.0
1, 97, LR, LR, 0.0, 0.0, 0.2119916150713644, 0.11021922679429644, 100.0, 100.0
1, 98, LR, LR, 0.0, 0.0, 0.18850247190317268, 0.1102742415208083, 100.0, 100.0
1, 99, LR, LR, 0.0, 0.0, 0.18514639483485776, 0.1142123540242513, 100.0, 100.0
1, 100, LR, LR, 0.0, 0.0, 0.18355097570117185, 0.11629773749679816, 100.0, 100.0
1, 101, LR, LR, 0.0, 0.0, 0.19933310501464732, 0.11834452861064187, 100.0, 100.0
1, 102, LR, LR, 0.0, 0.0, 0.21781984743390387, 0.12590699554771506, 100.0, 100.0
1, 103, LR, LR, 0.0, 0.0, 0.23961264353870426, 0.1259774649015037, 100.0, 100.0
1, 104, LR, LR, 0.0, 0.0, 0.2961225586895284, 0.141552676325259, 100.0, 100.0
1, 105, LR, LR, 0.0, 0.0, 0.2932718906052497, 0.14906358206143944, 100.0, 100.0
1, 106, LR, LR, 0.0, 0.0, 0.29291835994181736, 0.1451119803340057, 100.0, 100.0
1, 107, LR, LR, 0.0, 0.0, 0.2634994196410733, 0.1397548551144807, 100.0, 100.0
1, 108, LR, LR, 0.0, 0.0, 0.2381010346072347, 0.13176101766606813, 100.0, 100.0
1, 109, LR, LR, 0.0, 0.0, 0.2455141813032619, 0.12931656581099316, 100.0, 100.0
1, 110, LR, LR, 0.0, 0.0, 0.26618314008415245, 0.14078856279505764, 100.0, 100.0
1, 111, LR, LR, 0.0, 0.0, 0.24031433019460205, 0.13227038459981827, 100.0, 100.0
1, 112, LR, LR, 0.0, 0.0, 0.22912708336859125, 0.1192180674563172, 100.0, 100.0
1, 113, LR, LR, 0.0, 0.0, 0.2401495726183077, 0.11909994849546708, 100.0, 100.0
1, 114, LR, LR, 0.0, 0.0, 0.28855326166427664, 0.1256265588708826, 100.0, 100.0
1, 115, LR, LR, 0.0, 0.0, 0.2587564509924652, 0.1231489963218814, 100.0, 100.0
1, 116, LR, LR, 0.0, 0.0, 0.19685715491752775, 0.10812900155623327, 100.0, 100.0
1, 117, LR, LR, 0.0, 0.0, 0.17993865989198998, 0.10023916723893926, 100.0, 100.0
1, 118, LR, LR, 0.0, 0.0, 0.18985787514707736, 0.10432005441316994, 100.0, 100.0
1, 119, LR, LR, 0.0, 0.0, 0.22373708416725135, 0.11698778213993195, 100.0, 100.0
1, 120, LR, LR, 0.0, 0.0, 0.22167689912486016, 0.124900878421844, 100.0, 100.0
1, 121, LR, LR, 0.0, 0.0, 0.2101357737665088, 0.12094071570863114, 100.0, 100.0
1, 122, LR, LR, 0.0, 0.0, 0.2049863730026498, 0.11346384548248455, 100.0, 100.0
1, 123, LR, LR, 0.0, 0.0, 0.2241889889556612, 0.11198832399101667, 100.0, 100.0
1, 124, LR, LR, 0.0, 0.0, 0.2327769768593051, 0.1133696545836746, 100.0, 100.0
1, 125, LR, LR, 0.0, 0.0, 0.19556272242209874, 0.1094277937782002, 100.0, 100.0
1, 126, LR, LR, 0.0, 0.0, 0.2003264392169116, 0.11107655575400904, 100.0, 100.0
1, 127, LR, LR, 0.0, 0.0, 0.20039376095640524, 0.1114279496042352, 100.0, 100.0
1, 128, LR, LR, 0.0, 0.0, 0.20230111207656248, 0.11044047889909196, 100.0, 100.0
1, 129, LR, LR, 0.0, 0.0, 0.19995887727157835, 0.1121712538300368, 100.0, 100.0
1, 130, LR, LR, 0.0, 0.0, 0.21713642645040096, 0.11590538024902346, 100.0, 100.0
1, 131, LR, LR, 0.0, 0.0, 0.2835496047012749, 0.13767435195598196, 100.0, 100.0
1, 132, LR, LR, 0.0, 0.0, 0.23470338676540214, 0.12428714873942925, 100.0, 100.0
1, 133, LR, LR, 0.0, 0.0, 0.207855390878652, 0.10600020393492683, 100.0, 100.0
1, 134, LR, LR, 0.0, 0.0, 0.19931040896431448, 0.09974106321943567, 100.0, 100.0
1, 135, LR, LR, 0.0, 0.0, 0.21760767891814264, 0.10680034453856116, 100.0, 100.0
1, 136, LR, LR, 0.0, 0.0, 0.21797703293852935, 0.11308318849593875, 100.0, 100.0
1, 137, LR, LR, 0.0, 0.0, 0.1881598123249821, 0.09967446834483046, 100.0, 100.0
1, 138, LR, LR, 0.0, 0.0, 0.2249829202396416, 0.1096238260683806, 100.0, 100.0
1, 139, LR, LR, 0.0, 0.0, 0.22054127558459966, 0.12899165906404195, 100.0, 100.0
1, 140, LR, LR, 0.0, 0.0, 0.2079421516958231, 0.12518011255467193, 100.0, 100.0
1, 141, LR, LR, 0.0, 0.0, 0.19559379545041916, 0.1157829446136636, 100.0, 100.0
1, 142, LR, LR, 0.0, 0.0, 0.20768670138483447, 0.11873874967060392, 100.0, 100.0
1, 143, LR, LR, 0.0, 0.0, 0.22027650086859374, 0.11853990148990713, 100.0, 100.0
1, 144, LR, LR, 0.0, 0.0, 0.2234075510879206, 0.122757059462527, 100.0, 100.0
1, 145, LR, LR, 0.0, 0.0, 0.2266182998648836, 0.13266127736944902, 100.0, 100.0
1, 146, LR, LR, 0.0, 0.0, 0.24629782049978774, 0.12994859595047803, 100.0, 100.0
1, 147, LR, LR, 0.0, 0.0, 0.2399256060108182, 0.1346509721544054, 100.0, 100.0
1, 148, LR, LR, 0.0, 0.0, 0.2251504138764338, 0.13396866447047184, 100.0, 100.0
1, 149, LR, LR, 0.0, 0.0, 0.2366723684911184, 0.1303857301410876, 100.0, 100.0
1, 150, LR, LR, 0.0, 0.0, 0.23646713666171024, 0.1255334715048472, 100.0, 100.0
1, 151, LR, LR, 0.0, 0.0, 0.2495872946540709, 0.13187550250148275, 100.0, 100.0
1, 152, LR, LR, 0.0, 0.0, 0.24419673214414206, 0.128298179182426, 100.0, 100.0
1, 153, LR, LR, 0.0, 0.0, 0.2340010594572656, 0.13083063495096736, 100.0, 100.0
1, 154, LR, LR, 0.0, 0.0, 0.2549711531299521, 0.14045508364413647, 100.0, 100.0
1, 155, LR, LR, 0.0, 0.0, 0.23423491275208203, 0.13620999038860362, 100.0, 100.0
1, 156, LR, LR, 0.0, 0.0, 0.23156470039127994, 0.13575942619987155, 100.0, 100.0
1, 157, LR, LR, 0.0, 0.0, 0.25126428651908433, 0.13869597322197372, 100.0, 100.0
1, 158, LR, LR, 0.0, 0.0, 0.2257265943849409, 0.11514463830501474, 100.0, 100.0
1, 159, LR, LR, 0.0, 0.0, 0.2351638381067352, 0.12067075485878803, 100.0, 100.0
1, 160, LR, LR, 0.0, 0.0, 0.2005191580793052, 0.12493778648176745, 100.0, 100.0
1, 161, LR, LR, 0.0, 0.0, 0.17230538213798302, 0.11281971157533335, 100.0, 100.0
1, 162, LR, LR, 0.0, 0.0, 0.1830979321911031, 0.11803469233487912, 100.0, 100.0
1, 163, LR, LR, 0.0, 0.0, 0.2038161050560385, 0.13031324416555035, 100.0, 100.0
1, 164, LR, LR, 0.0, 0.0, 0.22500643809255852, 0.14026551445325214, 100.0, 100.0
1, 165, LR, LR, 0.0, 0.0, 0.2578524237065348, 0.14007155605094146, 100.0, 100.0
1, 166, LR, LR, 0.0, 0.0, 0.2498613773712749, 0.1479125146421126, 100.0, 100.0
1, 167, LR, LR, 0.0, 0.0, 0.2643669400277173, 0.15225280998902, 100.0, 100.0
1, 168, LR, LR, 0.0, 0.0, 0.25573854596236323, 0.14861694889365082, 100.0, 100.0
1, 169, LR, LR, 0.0, 0.0, 0.2666226834552897, 0.15377578538717682, 100.0, 100.0
1, 170, LR, LR, 0.0, 0.0, 0.2547438043150638, 0.14593991545057788, 100.0, 100.0
1, 171, LR, LR, 0.0, 0.0, 0.29743498908492005, 0.16400043251588173, 100.0, 100.0
1, 172, LR, LR, 0.0, 0.0, 0.3291609324077298, 0.1687572139720018, 100.0, 100.0
1, 173, LR, LR, 0.0, 0.0, 0.3272172072782844, 0.16402461985849964, 100.0, 100.0
1, 174, LR, LR, 0.0, 0.0, 0.33491337830586354, 0.1712923791124413, 100.0, 100.0
1, 175, LR, LR, 0.0, 0.0, 0.3027969932125672, 0.1675484143002495, 100.0, 100.0
1, 176, LR, LR, 0.0, 0.0, 0.28929795990325513, 0.15630089924597615, 100.0, 100.0
1, 177, LR, LR, 0.0, 0.0, 0.2868986881651662, 0.15196225015740644, 100.0, 100.0
1, 178, LR, LR, 0.0, 0.0, 0.289480974653, 0.15738914649523988, 100.0, 100.0
1, 179, LR, LR, 0.0, 0.0, 0.2977024877695389, 0.1524599778024774, 100.0, 100.0
1, 180, LR, LR, 0.0, 0.0, 0.2802393999108615, 0.1579452113101357, 100.0, 100.0
1, 181, LR, LR, 0.0, 0.0, 0.3048928615224276, 0.17267953973067435, 100.0, 100.0
1, 182, LR, LR, 0.0, 0.0, 0.2657194851075084, 0.1667932669321696, 100.0, 100.0
1, 183, LR, LR, 0.0, 0.0, 0.2592500505298544, 0.1590654813326322, 100.0, 100.0
1, 184, LR, LR, 0.0, 0.0, 0.2611945887884928, 0.15719466576209434, 100.0, 100.0
1, 185, LR, LR, 0.0, 0.0, 0.27075900561132576, 0.15383607913286254, 100.0, 100.0
1, 186, LR, LR, 0.0, 0.0, 0.2736646136810057, 0.1422033703204283, 100.0, 100.0
1, 187, LR, LR, 0.0, 0.0, 0.29918710767507545, 0.13485226188738322, 100.0, 100.0
1, 188, LR, LR, 0.0, 0.0, 0.2548433305670667, 0.1307625623093438, 100.0, 100.0
1, 189, LR, LR, 0.0, 0.0, 0.24655846949336124, 0.1411879991230212, 100.0, 100.0
1, 190, LR, LR, 0.0, 0.0, 0.2440690600238947, 0.14644365812602794, 100.0, 100.0
1, 191, LR, LR, 0.0, 0.0, 0.2647499425864144, 0.13384421748818512, 100.0, 100.0
1, 192, LR, LR, 0.0, 0.0, 0.2167265733276579, 0.11394981585050885, 100.0, 100.0
1, 193, LR, LR, 0.0, 0.0, 0.2546845927244303, 0.13840716730349908, 100.0, 100.0
1, 194, LR, LR, 0.0, 0.0, 0.25202157795381713, 0.13986022166716747, 100.0, 100.0
1, 195, LR, LR, 0.0, 0.0, 0.2740271888341904, 0.14421085496022912, 100.0, 100.0
1, 196, LR, LR, 0.0, 0.0, 0.2668633128799143, 0.13657373251374236, 100.0, 100.0
1, 197, LR, LR, 0.0, 0.0, 0.2317786102076909, 0.1302699153287423, 100.0, 100.0
1, 198, LR, LR, 0.0, 0.0, 0.21398399096586326, 0.12271003133242893, 100.0, 100.0
1, 199, LR, LR, 0.0, 0.0, 0.24140245004840435, 0.12828704075039368, 100.0, 100.0
1, 200, LR, LR, 0.0, 0.0, 0.2238124395590612, 0.12648557493199852, 100.0, 100.0
1, 201, LR, LR, 0.0, 0.0, 0.22303207090010352, 0.12807232783390926, 100.0, 100.0
1, 202, LR, LR, 0.0, 0.0, 0.2016896089415384, 0.1092104986700088, 100.0, 100.0
1, 203, LR, LR, 0.0, 0.0, 0.18381393026551887, 0.10390276710192364, 100.0, 100.0
1, 204, LR, LR, 0.0, 0.0, 0.16848203316879734, 0.10094592968622844, 100.0, 100.0
1, 205, LR, LR, 0.0, 0.0, 0.1494635289805411, 0.09371089441170964, 100.0, 100.0
1, 206, LR, LR, 0.0, 0.0, 0.15886898550808712, 0.09604933827193743, 100.0, 100.0
1, 207, LR, LR, 0.0, 0.0, 0.2224341171213205, 0.11541708310445148, 100.0, 100.0
1, 208, LR, LR, 0.0, 0.0, 0.2016954737441466, 0.1094466249148051, 100.0, 100.0
1, 209, LR, LR, 0.0, 0.0, 0.2035405566755308, 0.11638465680574114, 100.0, 100.0
1, 210, LR, LR, 0.0, 0.0, 0.20374749433081005, 0.1160660894293534, 100.0, 100.0
1, 211, LR, LR, 0.0, 0.0, 0.16820128557233271, 0.10843466718991596, 100.0, 100.0
1, 212, LR, LR, 0.0, 0.0, 0.1824398111201332, 0.1162786034389316, 100.0, 100.0
