Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,Difference of RMSE,Difference of MAE,,,,
1,1, LR, LR,0,0,0.721294189,0.388230534,100,100,0.721294189,0.388230534,,avg_reduced_rmse=,,107.9486674
1,2, LR, LR,0,0,1.027606491,0.429166468,100,100,1.027606491,0.429166468,,avg_reduced_mae=,,45.8496744
1,3, LR, LR,0,0,1.495605697,0.51904823,100,100,1.495605697,0.51904823,,,,
1,4, LR, LR,0,0,1.677156564,0.611955934,100,100,1.677156564,0.611955934,,,,
1,5, LR, LR,0,0,0.835154476,0.408016356,100,100,0.835154476,0.408016356,,,,
1,6, LR, LR,0,0,0.71998604,0.395009544,100,100,0.71998604,0.395009544,,,,
1,7, LR, LR,0,0,0.633044244,0.337577464,100,100,0.633044244,0.337577464,,,,
1,8, LR, LR,0,0,0.842143721,0.369785309,100,100,0.842143721,0.369785309,,,,
1,9, LR, LR,0,0,0.713621975,0.406553626,100,100,0.713621975,0.406553626,,,,
1,10, LR, LR,0,0,0.958446114,0.481537658,100,100,0.958446114,0.481537658,,,,
1,11, LR, LR,0,0,1.408111154,0.537972546,100,100,1.408111154,0.537972546,,,,
1,12, LR, LR,0,0,2.22266219,0.757662028,100,100,2.22266219,0.757662028,,,,
1,13, LR, LR,0,0,1.911105174,0.563477801,100,100,1.911105174,0.563477801,,,,
1,14, LR, LR,0,0,1.37643557,0.452712942,100,100,1.37643557,0.452712942,,,,
1,15, LR, LR,0,0,0.920062739,0.294530928,100,100,0.920062739,0.294530928,,,,
1,16, LR, LR,0,0,0.469425089,0.217867133,100,100,0.469425089,0.217867133,,,,
1,17, LR, LR,0,0,0.543724458,0.126349191,100,100,0.543724458,0.126349191,,,,
1,18, LR, LR,0,0,0.182149307,0.075817079,100,100,0.182149307,0.075817079,,,,
1,19, LR, LR,0,0,0.347617337,0.124273912,100,100,0.347617337,0.124273912,,,,
1,20, LR, LR,0,0,0.829220118,0.310909834,100,100,0.829220118,0.310909834,,,,
1,21, LR, LR,0,0,2.212755885,0.663840436,100,100,2.212755885,0.663840436,,,,
1,22, LR, LR,0,0,0.935784537,0.27007963,100,100,0.935784537,0.27007963,,,,
1,23, LR, LR,0,0,0.349502477,0.092818173,100,100,0.349502477,0.092818173,,,,
1,24, LR, LR,0,0,0.149682135,0.059891894,100,100,0.149682135,0.059891894,,,,
1,25, LR, LR,0,0,0.305151658,0.162847823,100,100,0.305151658,0.162847823,,,,
1,26, LR, LR,0,0,0.667956181,0.24607501,100,100,0.667956181,0.24607501,,,,
1,27, LR, LR,0,0,0.114305452,0.044161111,100,100,0.114305452,0.044161111,,,,
1,28, LR, LR,0,0,0.928693058,0.277229526,100,100,0.928693058,0.277229526,,,,
1,29, LR, LR,0,0,1.275857726,0.571739448,100,100,1.275857726,0.571739448,,,,
1,30, LR, LR,0,0,2.748074215,0.850107333,100,100,2.748074215,0.850107333,,,,
1,31, LR, LR,0,0,2.642895278,0.565659446,100,100,2.642895278,0.565659446,,,,
1,32, LR, LR,0,0,5.32589505,1.174452591,100,100,5.32589505,1.174452591,,,,
1,33, LR, LR,0,0,6.973906794,1.685786181,100,100,6.973906794,1.685786181,,,,
1,34, LR, LR,0,0,5.032008003,1.289051145,100,100,5.032008003,1.289051145,,,,
1,35, LR, LR,0,0,2.148431988,0.866807511,100,100,2.148431988,0.866807511,,,,
1,36, LR, LR,0,0,46.27805927,13.53274831,100,100,46.27805927,13.53274831,,,,
1,37, LR, LR,0,0,112.0973429,39.68976461,100,100,112.0973429,39.68976461,,,,
1,38, LR, LR,0,0,100.6818745,38.21554565,100,100,100.6818745,38.21554565,,,,
1,39, LR, LR,0,0,177.9535355,66.41163684,100,100,177.9535355,66.41163684,,,,
1,40, LR, LR,0,0,149.0078604,51.20230506,100,100,149.0078604,51.20230506,,,,
1,41, LR, LR,0,0,187.8112066,75.63514469,100,100,187.8112066,75.63514469,,,,
1,42, LR, LR,0,0,110.0766142,56.85066171,100,100,110.0766142,56.85066171,,,,
1,43, LR, LR,0,0,93.61498881,45.91394314,100,100,93.61498881,45.91394314,,,,
1,44, LR, LR,0,0,95.79189849,42.44241681,100,100,95.79189849,42.44241681,,,,
1,45, LR, LR,0,0,251.558097,80.79520671,100,100,251.558097,80.79520671,,,,
1,46, LR, LR,0,0,330.7730799,103.8444086,100,100,330.7730799,103.8444086,,,,
1,47, SVR, SVR,2.399154468,0.546343113,553.7385557,161.3883833,100,100,551.3394012,160.8420402,,,,
1,48, KNN, SVR,50.60153727,8.732921043,585.5180302,182.5296978,100,100,534.9164929,173.7967768,,,,
1,49, KNN, SVR,212.0645927,75.06687434,393.5995683,171.4954124,100,100,181.5349756,96.42853808,,,,
1,50, KNN, KNN,200.1307064,73.29371553,549.7491907,226.1715799,100,100,349.6184843,152.8778644,,,,
1,51, KNN, SVR,287.0152755,101.2753789,670.4000841,267.9050737,100,100,383.3848086,166.6296948,,,,
1,52, RF, SVR,402.1671764,134.6854134,395.704092,177.520761,98.07692308,100,-6.463084417,42.8353476,,,,
1,53, RF, SVR,125.765038,46.20808631,316.6131484,107.8507128,98.11320755,100,190.8481103,61.64262645,,,,
1,54, RF, SVR,351.2064581,104.5907595,343.7040682,118.7545766,96.2962963,100,-7.502389961,14.16381707,,,,
1,55, NN, SVR,95.27509388,22.13356827,308.9158054,103.3327437,96.36363636,100,213.6407116,81.19917544,,,,
1,56, RF, SVR,218.3442169,70.5482749,213.3135245,62.48456489,94.64285714,98.21428571,-5.030692416,-8.063710015,,,,
1,57, LR, LR,241.1624904,39.73986712,339.5297507,73.34321615,94.73684211,98.24561404,98.36726026,33.60334902,,,,
1,58, NN, SVR,54.65871682,13.25161703,402.5710189,76.47051711,94.82758621,98.27586207,347.9123021,63.21890008,,,,
1,59, LR, SVR,499.8149046,119.8714787,359.4829277,69.96104677,93.22033898,96.61016949,-140.3319769,-49.91043193,,,,
1,60, NN, SVR,130.5516289,20.47928596,285.2536473,56.64031587,93.33333333,96.66666667,154.7020184,36.16102991,,,,
1,61, NN, SVR,105.6846515,25.45630434,111.4900178,34.73812658,93.44262295,96.72131148,5.805366278,9.281822242,,,,
1,62, SVR, SVR,11.12285543,2.244953798,70.46247823,21.61866383,93.5483871,96.77419355,59.3396228,19.37371003,,,,
1,63, NN, SVR,28.57936776,4.185950252,45.32955792,12.02686564,93.65079365,96.82539683,16.75019016,7.840915389,,,,
1,64, LR, LR,0,0,4.099410636,0.960646116,93.75,96.875,4.099410636,0.960646116,,,,
1,65, LR, LR,0,0,1.634021753,0.581746523,93.84615385,96.92307692,1.634021753,0.581746523,,,,
1,66, LR, LR,0,0,1.071708567,0.425138897,93.93939394,96.96969697,1.071708567,0.425138897,,,,
1,67, LR, LR,0,0,2.016867474,0.789608843,94.02985075,97.01492537,2.016867474,0.789608843,,,,
1,68, LR, LR,0,0,2.840061635,1.018302616,94.11764706,97.05882353,2.840061635,1.018302616,,,,
