Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
23, 23, LR, LR, 87.60478284382526, 46.6732361982605, 517.3496199027145, 222.26369900173611, 0, 0, 0, 100.0, 100.0
23, 24, LR, LR, 289.19977773650476, 109.27761201652073, 469.30140135070394, 179.56744309413583, 0, 0, 0, 100.0, 100.0
23, 25, LR, LR, 638.0153297528232, 249.83029728651871, 732.9171879520935, 253.46284589694656, 0, 0, 0, 100.0, 100.0
23, 26, LR, LR, 232.35719308352878, 70.35683123673083, 541.4953047336087, 176.18877645177162, 0, 0, 0, 100.0, 100.0
23, 27, LR, LR, 492.0065132927019, 200.067033581283, 811.0658218923177, 270.2532989758403, 0, 0, 0, 100.0, 100.0
23, 28, LR, LR, 458.45323643839515, 160.30837038934416, 955.3464202103318, 334.092734375, 0, 0, 0, 100.0, 100.0
23, 29, LR, LR, 1054.3495677470114, 285.78998954219844, 1505.1402834045978, 461.91793258101853, 0, 0, 0, 100.0, 100.0
24, 23, LR, LR, 97.99498836378763, 53.45924471367872, 638.1893085095793, 245.21097972972973, 0, 0, 0, 100.0, 100.0
24, 24, LR, LR, 190.58631281026857, 98.67460334791718, 509.51857996871263, 194.8454575224551, 0, 0, 0, 100.0, 100.0
24, 25, LR, LR, 358.3805637671101, 172.0435436547493, 572.2564386522421, 195.74537678006328, 0, 0, 0, 100.0, 100.0
24, 26, LR, LR, 434.4113886277271, 189.54923827413376, 476.06337908842653, 188.8603757747934, 0, 1, 0, 100.0, 90.9090909090909
24, 27, LR, LR, 454.0506196212528, 225.06723107745373, 901.8289019659177, 318.3648222477064, 0, 0, 0, 100.0, 91.66666666666666
24, 28, LR, LR, 670.5829627519195, 243.06882584414686, 1082.882360599041, 339.8323679956896, 0, 0, 0, 100.0, 92.3076923076923
24, 29, LR, LR, 854.3166937381117, 353.2643542908073, 1253.611331259818, 453.48444475446433, 0, 0, 0, 100.0, 92.85714285714286
