Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
1,1, LR, LR,0,0,2.089135726,0.953470403,0,0,0,100,100,2.089135726,0.953470403,,avg_less_rmse =,,141.7630084,,,,,,,
1,2, LR, LR,0,0,2.525625375,1.135958798,0,0,0,100,100,2.525625375,1.135958798,,avg_less_mae =,,52.10374103,,,,,,,
1,3, LR, LR,0,0,2.17169565,1.266011884,0,0,0,100,100,2.17169565,1.266011884,,,,,,,,,,,
1,4, LR, LR,0,0,2.066347037,1.064990936,0,0,0,100,100,2.066347037,1.064990936,,,,,,,,,,,
1,5, LR, LR,0,0,2.637143763,0.818104108,0,0,0,100,100,2.637143763,0.818104108,,,,,,,,,,,
1,6, LR, LR,0,0,2.365270324,1.103502604,0,0,0,100,100,2.365270324,1.103502604,,,,,,,,,,,
1,7, LR, LR,0,0,4.604560855,1.500332342,0,0,0,100,100,4.604560855,1.500332342,,,,,,,,,,,
1,8, LR, LR,0,0,2.086298277,0.580935196,0,0,0,100,100,2.086298277,0.580935196,,,,,,,,,,,
1,9, LR, LR,0,0,1.218885956,0.255931626,0,0,0,100,100,1.218885956,0.255931626,,,,,,,,,,,
1,10, LR, LR,0,0,1.175145102,0.142958154,0,0,0,100,100,1.175145102,0.142958154,,,,old error,,new error,,reduced error,,reduced parcentage,
1,11, LR, LR,0,0,1.160540411,0.074189471,0,0,0,100,100,1.160540411,0.074189471,,avg_less_rmse=,,539.1699073,-,397.4068989,=,141.7630084,,26.29282652,%
1,12, LR, LR,0,0,0.687111992,0.11977804,0,0,0,100,100,0.687111992,0.11977804,,,,,,,,,,,
1,13, LR, LR,0,0,2.384671589,0.002031746,0,0,0,100,100,2.384671589,0.002031746,,avg_less_mae=,,201.4047794,-,149.3010383,=,52.10374103,,25.87016117,%
1,14, LR, LR,0,0,0.616183745,0.020017073,0,0,0,100,100,0.616183745,0.020017073,,,,,,,,,,,
1,15, LR, LR,0,0,2.815599541,0.781998867,0,0,0,100,100,2.815599541,0.781998867,,,,,,,,,,,
1,16, LR, LR,0,0,2.472560872,0.06210555,0,0,0,100,100,2.472560872,0.06210555,,,,,,,,,,,
1,17, LR, LR,0,0,6.701928522,1.470177098,0,0,0,100,100,6.701928522,1.470177098,,,,,,,,,,,
1,18, LR, LR,0,0,11.35948772,3.300985458,0,0,0,100,100,11.35948772,3.300985458,,,,,,,,,,,
1,19, LR, LR,0,0,18.93731365,4.850158691,0,0,0,100,100,18.93731365,4.850158691,,,,,,,,,,,
1,20, LR, LR,0,0,28.92944585,7.414411115,0,0,0,100,100,28.92944585,7.414411115,,,,,,,,,,,
1,21, LR, LR,0,0,244.2166671,81.42424495,0,0,0,100,100,244.2166671,81.42424495,,,,,,,,,,,
1,22, LR, LR,0,0,275.8909511,85.3147007,0,0,0,100,100,275.8909511,85.3147007,,,,,,,,,,,
1,23, LR, LR,0,0,253.1564763,80.90449119,0,0,0,100,100,253.1564763,80.90449119,,,,,,,,,,,
