Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1, 1, LR, LR, 0.0, 0.0, 18.874114744006995, 4.372918454208815, 100.0, 100.0
1, 2, LR, LR, 0.0, 0.0, 9.815945575286278, 3.5417140983265534, 100.0, 100.0
1, 3, LR, LR, 0.0, 0.0, 6.720968701614815, 2.5958480834960938, 100.0, 100.0
1, 4, LR, LR, 0.0, 0.0, 6.9314309490846835, 2.153623604480132, 100.0, 100.0
1, 5, LR, LR, 0.0, 0.0, 5.433836060935333, 1.334227775804924, 100.0, 100.0
1, 6, LR, LR, 0.0, 0.0, 4.22863887305951, 1.5025223214285717, 100.0, 100.0
1, 7, LR, LR, 0.0, 0.0, 5.06060305492186, 1.6455485026041667, 100.0, 100.0
1, 8, LR, LR, 0.0, 0.0, 2.153968929130925, 0.696564225961041, 100.0, 100.0
1, 9, LR, LR, 0.0, 0.0, 1.4075999389235418, 0.4116812159872463, 100.0, 100.0
1, 10, LR, LR, 0.0, 0.0, 3.3554635065204574, 0.14295815448371732, 100.0, 100.0
1, 11, LR, LR, 0.0, 0.0, 7.44450946568795, 0.13096439675109028, 100.0, 100.0
1, 12, LR, LR, 0.0, 0.0, 21.316565534789593, 0.2461367237324617, 100.0, 100.0
1, 13, LR, LR, 0.0, 0.0, 16.49458121151041, 0.18063673681142375, 100.0, 100.0
1, 14, LR, LR, 0.0, 0.0, 23.150758149493537, 0.020017072921845968, 100.0, 100.0
1, 15, LR, LR, 0.0, 0.0, 8.401777288999522, 2.1385220783512766, 100.0, 100.0
1, 16, LR, LR, 0.0, 0.0, 10.608001395339068, 0.701772928237915, 100.0, 100.0
1, 17, LR, LR, 0.0, 0.0, 24.324414211571693, 7.789044189453125, 100.0, 100.0
1, 18, LR, LR, 0.0, 0.0, 46.24668799239528, 13.077812032496677, 100.0, 100.0
1, 19, LR, LR, 0.0, 0.0, 51.43658704087046, 14.880891219429348, 100.0, 100.0
1, 20, LR, LR, 0.0, 0.0, 35.21965973455993, 8.635249467329546, 100.0, 100.0
1, 21, LR, LR, 0.0, 0.0, 497.7554095750182, 163.43522621268656, 100.0, 100.0
1, 22, LR, LR, 0.0, 0.0, 731.0892938318517, 291.9411349826389, 100.0, 100.0
1, 23, LR, LR, 0.0, 0.0, 392.9287721712423, 175.78966796875, 100.0, 100.0
1, 24, LR, LR, 0.0, 0.0, 419.21004580043166, 168.00791931152344, 100.0, 100.0
1, 25, LR, LR, 0.0, 0.0, 577.8594335995563, 199.28935546875, 100.0, 100.0
1, 26, LR, LR, 0.0, 0.0, 592.1439279200192, 212.9521292892157, 100.0, 100.0
1, 27, NN, SVR, 4.20789823083037, 0.5838282950992428, 983.0357130413696, 340.19441598360663, 100.0, 100.0
1, 28, NN, NN, 51.03319861671363, 19.209867061838807, 1746.8629887228888, 674.4241224315067, 100.0, 100.0
1, 29, KNN, NN, 444.86724912507896, 139.49443325430846, 1476.4142480507064, 603.1724223726114, 100.0, 100.0
1, 30, KNN, KNN, 763.369629181095, 371.98938598249634, 2577.2768574602146, 872.0677734375, 100.0, 100.0
1, 31, KNN, KNN, 564.9606071570192, 299.84711535347105, 1835.1053824524308, 749.986328125, 100.0, 100.0
1, 32, RF, SVR, 1462.4338893669685, 388.06701626092223, 1874.0317423748647, 569.1959263392857, 100.0, 100.0
1, 33, LR, LR, 538.5586727065502, 207.0327512059515, 2020.5182794637271, 454.9398265165442, 100.0, 100.0
1, 34, NN, SVR, 277.0043727766323, 44.92207071283142, 1572.9192604835125, 385.8870849609375, 100.0, 100.0
1, 35, RF, SVR, 988.5461536112344, 207.31787366018975, 1501.2126592444733, 319.11691810344826, 100.0, 100.0
1, 36, LR, SVR, 72.81529063665752, 30.946198364230334, 517.6553085968679, 128.6279658564815, 100.0, 100.0
1, 37, NN, NN, 207.55118424655186, 37.60464539709699, 277.5736388780462, 69.5697314453125, 100.0, 100.0
1, 38, NN, SVR, 47.436468152287176, 10.15944359084845, 83.07684314590081, 22.902077976661392, 100.0, 100.0
1, 39, LR, LR, 0.0, 0.0, 8.299551433551201, 1.0815587885239546, 100.0, 100.0
1, 40, LR, LR, 0.0, 0.0, 30.373588865463066, 0.8146709095348011, 100.0, 100.0
1, 41, LR, LR, 0.0, 0.0, 17.450166898774405, 2.096321356101114, 100.0, 100.0
1, 42, LR, LR, 0.0, 0.0, 18.798611948115944, 4.4928335416114935, 100.0, 100.0
1, 43, LR, LR, 0.0, 0.0, 26.142233199304638, 5.668412465897817, 100.0, 100.0
1, 44, LR, LR, 0.0, 0.0, 47.17852804046049, 8.466842159148186, 100.0, 100.0
1, 45, LR, LR, 0.0, 0.0, 82.21674592112701, 12.966013733769806, 100.0, 100.0
1, 46, LR, LR, 0.0, 0.0, 7.551088714241732, 0.6986907249273255, 100.0, 100.0
1, 47, LR, LR, 0.0, 0.0, 28.891321323231267, 1.5032595120943508, 100.0, 100.0
1, 48, LR, LR, 0.20241501218090993, 0.02613166570663452, 69.45870278970928, 10.051946640014648, 100.0, 100.0
1, 49, SVR, SVR, 0.10537958294244044, 0.09552230696021255, 344.8325008003849, 46.66549210695877, 100.0, 100.0
1, 50, LR, LR, 405.82913092879795, 58.978433826537206, 1094.5867585728463, 227.3144741263441, 100.0, 100.0
1, 51, KNN, KNN, 622.6610397150058, 218.5303500198005, 852.4966793104206, 282.67828010110287, 100.0, 100.0
1, 52, LR, LR, 607.008883695093, 162.47990703702894, 710.4413677869112, 241.41422639860141, 100.0, 100.0
1, 53, NN, NN, 315.9133626543833, 98.41057431761632, 935.8474874064894, 299.0748646653543, 100.0, 100.0
1, 54, KNN, SVR, 719.8840732821236, 150.18095204795227, 1087.9767886022723, 403.28241604477614, 100.0, 100.0
1, 55, NN, SVR, 483.57091724613645, 197.7656987637474, 1962.5396196931283, 690.5009973404256, 100.0, 100.0
1, 56, KNN, SVR, 330.20746551147, 104.65160135800845, 1921.7730239431387, 609.7868381076388, 100.0, 100.0
