Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1, 1, LR, LR, 0.0, 0.0, 1.8389301988175208, 0.8127116521199544, 0, 0, 0, 100.0, 100.0
1, 2, LR, LR, 0.0, 0.0, 2.345431471485555, 0.941998291015625, 0, 0, 0, 100.0, 100.0
1, 3, LR, LR, 0.0, 0.0, 1.7399614421913203, 0.8473765691121419, 0, 0, 0, 100.0, 100.0
1, 4, LR, LR, 0.0, 0.0, 1.9056698442643576, 0.7949150085449219, 0, 0, 0, 100.0, 100.0
1, 5, LR, LR, 0.0, 0.0, 2.477873786164816, 0.974881680806478, 0, 0, 0, 100.0, 100.0
1, 6, LR, LR, 0.0, 0.0, 2.4676728679340827, 1.206623331705729, 0, 0, 0, 100.0, 100.0
1, 7, LR, LR, 0.0, 0.0, 2.49405512652008, 1.2841065724690754, 0, 0, 0, 100.0, 100.0
1, 8, LR, LR, 0.0, 0.0, 1.082243405325608, 0.47237335840861, 0, 0, 0, 100.0, 100.0
1, 9, LR, LR, 0.0, 0.0, 0.08326368500949084, 0.031998332341512045, 0, 0, 0, 100.0, 100.0
1, 10, LR, LR, 0.0, 0.0, 0.28762959862582976, 0.09047834078470866, 0, 0, 0, 100.0, 100.0
1, 11, LR, LR, 0.0, 0.0, 0.5296682708760754, 0.12797832489013672, 0, 0, 0, 100.0, 100.0
1, 12, LR, LR, 0.0, 0.0, 0.3627777110092104, 0.08964999516805013, 0, 0, 0, 100.0, 100.0
1, 13, LR, LR, 0.0, 0.0, 0.13174527288518534, 0.01956833402315776, 0, 0, 0, 100.0, 100.0
1, 14, LR, LR, 0.0, 0.0, 0.13402427768694086, 0.03708166678746541, 0, 0, 0, 100.0, 100.0
1, 15, LR, LR, 0.0, 0.0, 0.549058779286121, 0.16550834973653158, 0, 0, 0, 100.0, 100.0
1, 16, LR, LR, 0.0, 0.0, 0.020290026703883232, 0.006325000027815501, 0, 0, 0, 100.0, 100.0
1, 17, LR, LR, 0.0, 0.0, 4.846109556338079, 1.0396750132242838, 0, 0, 0, 100.0, 100.0
1, 18, LR, LR, 0.0, 0.0, 9.609526167510161, 2.3419766743977863, 0, 0, 0, 100.0, 100.0
1, 19, LR, LR, 0.0, 0.0, 18.882843637920814, 4.552780151367188, 0, 0, 0, 100.0, 100.0
1, 20, LR, LR, 0.0, 0.0, 26.660258832983352, 6.298586527506512, 0, 0, 0, 100.0, 100.0
1, 21, LR, LR, 0.0, 0.0, 174.8041701924375, 65.92408854166666, 0, 0, 0, 100.0, 100.0
1, 22, LR, LR, 0.0, 0.0, 204.55624735835698, 82.69775390625, 0, 0, 0, 100.0, 100.0
1, 23, LR, LR, 0.0, 0.0, 184.67381717503966, 58.50872395833333, 0, 0, 0, 100.0, 100.0
1, 24, LR, LR, 0.0, 0.0, 85.79585508636184, 40.88104248046875, 0, 0, 0, 100.0, 100.0
1, 25, LR, LR, 0.0, 0.0, 96.05065395404655, 62.09195963541666, 0, 0, 0, 100.0, 100.0
1, 26, LR, LR, 0.0, 0.0, 223.86482156277557, 72.3453857421875, 0, 0, 0, 100.0, 100.0
1, 27, LR, LR, 4.192580787504509, 0.7698287364414764, 734.529736180458, 213.80439453125, 0, 0, 0, 100.0, 100.0
1, 28, LR, LR, 31.113370694961507, 13.433364037236723, 1730.1567559039268, 602.7291666666666, 0, 0, 0, 100.0, 100.0
1, 29, LR, LR, 535.9733834049189, 244.54380123388194, 1248.7016190160616, 506.34755859375, 0, 0, 0, 100.0, 100.0
1, 30, LR, LR, 1065.220819641929, 638.2930822583395, 2057.7267716260744, 843.8081380208333, 0, 0, 0, 100.0, 100.0
1, 31, LR, LR, 1117.7533342602949, 643.7082113701078, 783.8757979850294, 345.48645833333336, 10, 14, 10, 96.7741935483871, 96.7741935483871
1, 32, LR, LR, 1561.9348392391234, 463.43899511372933, 1303.9593040684465, 292.60491536458335, 11, 18, 10, 93.75, 93.75
1, 33, LR, LR, 1053.0833796557033, 414.2232517518103, 939.3777018146995, 235.28522135416668, 9, 21, 9, 90.9090909090909, 90.9090909090909
1, 34, LR, LR, 1134.0926037584243, 359.9033101324383, 795.1006644863697, 179.51477864583333, 10, 21, 8, 88.23529411764706, 88.23529411764706
1, 35, LR, LR, 1094.7469310588497, 352.9242744103854, 682.3827957971977, 202.97737630208331, 7, 20, 5, 85.71428571428571, 85.71428571428571
1, 36, LR, LR, 629.299950212443, 162.04822997526753, 506.8138514287075, 107.08931477864584, 10, 19, 9, 83.33333333333334, 83.33333333333334
1, 37, LR, LR, 69.65702153051582, 52.08923699190215, 55.77425901569648, 10.229408772786458, 8, 19, 8, 81.08108108108108, 81.08108108108108
1, 38, LR, LR, 11.59015442462903, 11.590154424629036, 5.895329272107072, 1.522463353474935, 1, 10, 1, 78.94736842105263, 78.94736842105263
1, 39, LR, LR, 0.0, 0.0, 3.730712933762209, 0.7844284057617188, 0, 0, 0, 79.48717948717949, 79.48717948717949
1, 40, LR, LR, 0.0, 0.0, 4.267315942318134, 0.8343999862670899, 0, 0, 0, 80.0, 80.0
1, 41, LR, LR, 0.0, 0.0, 9.587285756515412, 1.4963883717854818, 0, 0, 0, 80.48780487804879, 80.48780487804879
1, 42, LR, LR, 0.0, 0.0, 8.038814986471499, 1.749998219807943, 0, 0, 0, 80.95238095238095, 80.95238095238095
1, 43, LR, LR, 0.0, 0.0, 2.629592317765197, 0.6799683888753255, 0, 0, 0, 81.3953488372093, 81.3953488372093
1, 44, LR, LR, 0.0, 0.0, 2.4786300805100208, 0.6881283442179362, 0, 0, 0, 81.81818181818183, 81.81818181818183
1, 45, LR, LR, 0.0, 0.0, 3.5563523459386785, 0.6754016240437826, 0, 0, 0, 82.22222222222221, 82.22222222222221
1, 46, LR, LR, 0.0, 0.0, 2.9479731434151293, 1.0927032470703124, 0, 0, 0, 82.6086956521739, 82.6086956521739
1, 47, LR, LR, 0.0, 0.0, 13.871521476496971, 3.8510047912597662, 0, 0, 0, 82.97872340425532, 82.97872340425532
1, 48, LR, LR, 0.011199285302843372, 0.011199285302843375, 15.307687913097512, 4.737685139973959, 0, 0, 0, 83.33333333333334, 83.33333333333334
1, 49, LR, LR, 7.0014901297433, 7.001490129743299, 60.265861501350834, 41.38830159505208, 0, 0, 0, 83.6734693877551, 83.6734693877551
1, 50, LR, LR, 35.75647886057562, 34.11312978108723, 91.53206746818294, 248.33717447916663, 0, 0, 0, 84.0, 84.0
1, 51, LR, LR, 296.86840096335965, 165.83622156707654, 66.0574915319981, 38.58184407552083, 10, 13, 9, 82.35294117647058, 82.35294117647058
1, 52, LR, LR, 493.18703909678766, 230.77496582543566, 358.99350969063494, 141.38505859375, 2, 9, 1, 80.76923076923077, 80.76923076923077
1, 53, LR, LR, 640.9785569846811, 223.16471447034604, 619.34252773943, 189.03102213541663, 1, 8, 1, 79.24528301886792, 79.24528301886792
1, 54, LR, LR, 305.4869766080244, 238.02937452720747, 278.55380988239955, 151.948291015625, 1, 6, 0, 77.77777777777779, 77.77777777777779
1, 55, LR, LR, 453.5748682255304, 379.26523638466995, 1250.7561979325415, 321.7278645833333, 0, 1, 0, 78.18181818181819, 76.36363636363637
1, 56, LR, LR, 360.7617970956265, 302.9147352408617, 953.6338920151696, 243.4154296875, 0, 2, 0, 78.57142857142857, 75.0
1, 57, LR, LR, 839.5348225688632, 353.30718806976716, 568.2371863931469, 176.14059244791667, 10, 13, 8, 77.19298245614034, 73.68421052631578
1, 58, LR, LR, 916.566998045352, 258.29011498919556, 495.2982603105594, 110.92516276041668, 8, 7, 7, 75.86206896551724, 72.41379310344827
1, 59, LR, LR, 297.535335147637, 62.74462027186439, 179.11464554859833, 47.35087076822917, 1, 1, 1, 74.57627118644068, 71.1864406779661
1, 60, LR, LR, 4.337496150351062, 3.448906863494998, 175.49564334573475, 44.92242024739584, 0, 0, 0, 75.0, 71.66666666666667
1, 61, LR, LR, 0.0, 0.0, 60.162949302290684, 22.99847005208333, 0, 0, 0, 75.40983606557377, 72.1311475409836
1, 62, LR, LR, 0.0, 0.0, 98.21984269993513, 41.80115966796875, 0, 0, 0, 75.80645161290323, 72.58064516129032
1, 63, LR, LR, 0.0, 0.0, 60.96690743414277, 26.55465087890625, 0, 0, 0, 76.19047619047619, 73.01587301587301
1, 64, LR, LR, 0.0, 0.0, 110.03607836371971, 39.547611490885416, 0, 0, 0, 76.5625, 73.4375
1, 65, LR, LR, 0.0, 0.0, 77.83780545681728, 24.30757649739583, 0, 0, 0, 76.92307692307693, 73.84615384615385
2, 1, LR, LR, 0.0, 0.0, 9.072367114049307, 3.071265157063802, 0, 0, 0, 77.27272727272727, 74.24242424242425
2, 2, LR, LR, 0.0, 0.0, 2.799328423751568, 1.2554449717203775, 0, 0, 0, 77.61194029850746, 74.6268656716418
2, 3, LR, LR, 0.0, 0.0, 3.0645655303237413, 1.2842416127522789, 0, 0, 0, 77.94117647058823, 75.0
2, 4, LR, LR, 0.0, 0.0, 2.9494419065683184, 1.3130832672119142, 0, 0, 0, 78.26086956521739, 75.36231884057972
2, 5, LR, LR, 0.0, 0.0, 2.2749528481763712, 1.2376800537109376, 0, 0, 0, 78.57142857142857, 75.71428571428571
2, 6, LR, LR, 0.0, 0.0, 1.755420754216117, 0.7015650431315105, 0, 0, 0, 78.87323943661971, 76.05633802816901
2, 7, LR, LR, 0.0, 0.0, 1.3276448178368725, 0.5779117584228516, 0, 0, 0, 79.16666666666666, 76.38888888888889
2, 8, LR, LR, 0.0, 0.0, 1.1712488561602272, 0.5571999867757161, 0, 0, 0, 79.45205479452055, 76.71232876712328
2, 9, LR, LR, 0.0, 0.0, 0.16631014560551108, 0.0633466641108195, 0, 0, 0, 79.72972972972973, 77.02702702702703
