Place,Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1,1,1, LR, LR,0,0,18.87411474,4.372918454,100,100
2,1,2, LR, LR,0,0,9.815945575,3.541714098,100,100
3,1,3, LR, LR,0,0,6.720968702,2.595848083,100,100
4,1,4, LR, LR,0,0,6.931430949,2.153623604,100,100
5,1,5, LR, LR,0,0,5.433836061,1.334227776,100,100
6,1,6, LR, LR,0,0,4.228638873,1.502522321,100,100
7,1,7, LR, LR,0,0,5.060603055,1.645548503,100,100
8,1,8, LR, LR,0,0,2.153968929,0.696564226,100,100
9,1,9, LR, LR,0,0,1.407599939,0.411681216,100,100
10,1,10, LR, LR,0,0,3.355463507,0.142958154,100,100
11,1,11, LR, LR,0,0,7.444509466,0.130964397,100,100
12,1,12, LR, LR,0,0,21.31656553,0.246136724,100,100
13,1,13, LR, LR,0,0,16.49458121,0.180636737,100,100
14,1,14, LR, LR,0,0,23.15075815,0.020017073,100,100
15,1,15, LR, LR,0,0,8.401777289,2.138522078,100,100
16,1,16, LR, LR,0,0,10.6080014,0.701772928,100,100
17,1,17, LR, LR,0,0,24.32441421,7.789044189,100,100
18,1,18, LR, LR,0,0,46.24668799,13.07781203,100,100
19,1,19, LR, LR,0,0,51.43658704,14.88089122,100,100
20,1,20, LR, LR,0,0,35.21965973,8.635249467,100,100
21,1,21, LR, LR,0,0,497.7554096,163.4352262,100,100
22,1,22, LR, LR,0,0,731.0892938,291.941135,100,100
23,1,23, LR, LR,0,0,392.9287722,175.789668,100,100
24,1,24, LR, LR,0,0,419.2100458,168.0079193,100,100
25,1,25, LR, LR,0,0,577.8594336,199.2893555,100,100
26,1,26, LR, LR,0,0,592.1439279,212.9521293,100,100
27,1,27, NN, SVR,4.207898231,0.583828295,983.035713,340.194416,100,100
28,1,28, NN, NN,51.03319862,19.20986706,1746.862989,674.4241224,100,100
29,1,29, KNN, NN,444.8672491,139.4944333,1476.414248,603.1724224,100,100
30,1,30, KNN, KNN,763.3696292,371.989386,2577.276857,872.0677734,100,100
31,1,31, KNN, KNN,564.9606072,299.8471154,1835.105382,749.9863281,100,100
32,1,32, RF, SVR,1462.433889,388.0670163,1874.031742,569.1959263,100,100
33,1,33, LR, LR,538.5586727,207.0327512,2020.518279,454.9398265,100,100
34,1,34, NN, SVR,277.0043728,44.92207071,1572.91926,385.887085,100,100
