Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw, s3m01, s3m02, s3m03, s3m04, s3m05, s3m06, s3m07, s3m08, s3m09, s3m10, s3m11, s3m12, s3m13, s3m14, s3m15, 
0,0,111.7334618,119.9181259,146.9411241,113.4786349,138.2506237,130.3157269,15.92483188,41.53295074,2.240823212,18.54257664,10.78997937,3.185247265,48.15501296,27.52192475,8.482630361,47.82454534,12.42008735,12.76454295,12.63058281,2.789535362,16.97951452,33.63446055,15.63252056,19.45888427, ,,,,,,,,,,,,,,,
0,1,112.0998092,122.0393794,145.4516911,117.0537751,146.7952759,130.8234111,18.5464284,16.84899147,2.322999423,15.74799931,12.18572899,6.874750101,27.2005928,20.52845822,9.427859558,24.78144524,12.1374473,10.49832729,10.7990815,5.475240791,21.91160764,21.09525145,11.57884649,14.38552686, ,,,,,,,,,,,,,,,
0,2,119.2830655,138.2777239,135.3327213,105.109151,126.8486061,129.0803122,14.97871601,14.78852691,3.704732385,12.43594983,13.23854887,6.181634958,16.34079011,16.79246594,9.013564493,12.76637862,12.53385584,8.948217002,8.239678973,4.618933807,18.45765413,16.71673395,9.446652794,11.8670957, ,,,,,,,,,,,,,,,
0,3,103.9391697,110.9628514,119.9761604,113.1330944,124.7168902,110.9275658,8.329762601,11.72884922,2.119915698,9.510497943,8.848632714,2.584387883,11.0967259,13.032108,4.996123637,13.85722172,5.951725265,6.214884763,11.58117824,2.348985694,11.896378,11.18095753,6.604017866,9.743130836, ,,,,,,,,,,,,,,,
0,4,97.69061728,98.19797888,118.2786497,100.2757386,121.5734202,101.5557553,5.094829081,12.76749864,1.366152146,5.853669097,8.322575111,1.743693197,6.559844143,10.34203309,3.318366972,17.82792027,4.698424097,4.02565574,7.74087571,2.254835547,6.420795133,8.375574622,5.745213149,6.134147528, ,,,,,,,,,,,,,,,
0,5,101.1226085,105.1369153,123.0653153,89.99356844,110.9660711,104.3178719,3.354275065,8.462639242,1.65273748,6.925172042,7.817702565,1.913414153,5.488062673,15.95508928,2.764916242,6.713313593,4.306349196,4.391502465,4.836990312,1.824112935,6.564132088,6.960041203,5.216519352,5.254421699, ,,,,,,,,,,,,,,,
0,6,122.5884588,122.0165829,156.2761242,124.3654228,148.3124049,132.7691834,5.304098392,10.19602038,2.35147219,6.457613279,10.88554625,3.751991421,15.15048567,19.52712873,2.327564438,8.269018738,4.625719257,5.014103538,7.39636782,3.636392205,13.79922907,8.794355688,7.290828361,5.435999317, ,,,,,,,,,,,,,,,
0,7,141.4983885,142.2894284,146.0054666,129.1720702,156.9859319,138.3264385,7.152718053,14.20052506,5.172451377,7.46667476,13.75596378,5.216672491,8.545913231,14.49700734,4.251518448,9.340951349,7.308415791,4.725956831,8.948340103,4.70843294,8.135353538,6.566847856,8.384655504,5.338620369, ,,,,,,,,,,,,,,,
0,8,95.352759,97.76603199,104.1336908,84.94269814,106.6722136,85.75206381,8.997029048,19.587562,7.974387483,13.2875782,45.74855845,2.904925765,19.63100643,33.28011814,4.89391433,9.627318421,8.38944853,5.782436679,13.41043212,8.156879627,5.842775189,10.17420657,12.522839,3.900824257, ,,,,,,,,,,,,,,,
0,9,72.79624523,71.67502452,89.36825745,68.39692217,98.93220623,66.58246865,7.709332318,14.76972262,4.021028536,9.70955755,16.17600544,2.660886488,10.14434742,20.87453124,6.010112244,3.578202389,2.298801582,2.113450702,4.426854874,2.290252746,2.949984598,3.9890034,4.006437208,1.829487072, ,,,,,,,,,,,,,,,
0,10,68.45735696,59.34126616,77.65298762,60.6899612,77.88325642,61.3377114,17.53607463,3.541788309,4.666391235,80.35503899,5.847869682,1.477468087,3.100843124,4.241197579,8.986269191,1.712721453,4.232865688,36.30102138,2.667001067,0.74728533,1.132254345,1.582728682,1.089341038,1.555014654, ,,,,,,,,,,,,,,,
0,11,66.01528613,57.51431993,80.65933025,61.46266313,73.07982661,58.46100833,7.622018144,16.82545858,48.41620886,279.6489671,35.91044856,0.981691785,3.907348587,3.60631407,9.517364007,11.88721685,46.37163351,149.2032874,2.546460518,0.403003302,0.505546273,1.643569755,1.28798712,8.046458506, ,,,,,,,,,,,,,,,
0,12,64.97213164,58.80419443,76.54449171,60.00625274,70.82162124,57.95027425,5.532214807,77.99650683,46.147178,28.46413862,140.2728896,3.371654534,12.39858401,13.71950928,44.28979006,33.66208533,83.63705882,29.04052634,24.0733683,8.911950257,3.017770732,2.896270076,4.430004566,42.21945752, ,,,,,,,,,,,,,,,
0,13,58.03850276,56.90888573,67.54961742,53.6111959,67.31588485,53.30302524,11.5090011,8.318965315,19.50726321,44.55366561,32.06952363,13.10012661,11.90351793,24.58039916,11.96317783,1.377640448,18.58584675,12.77898376,13.30555884,6.260613717,8.942793268,2.193149437,4.459751972,9.363240463, ,,,,,,,,,,,,,,,
0,14,40.16848918,37.54641667,47.54768873,38.6278465,49.0059253,37.92039993,6.212748539,2.840351919,2.072363482,6.648246587,6.513569127,2.630038528,2.272714087,6.013836953,3.393974935,1.438410027,3.512686272,3.941974943,2.835406798,5.425348887,0.53128833,0.854096686,7.354342165,1.202334687, ,,,,,,,,,,,,,,,
0,15,28.21901481,28.29982251,35.04670466,31.73673573,38.80178567,22.34872227,0.934585851,3.039143514,0.68952966,3.099874443,1.50086037,1.071653238,2.360737121,6.086431338,0.395733154,0.411197634,2.517499217,0.900258946,0.808136428,0.927756733,0.271867895,1.559445868,1.805899988,0.120317756, ,,,,,,,,,,,,,,,
