Y, X,ML Models,, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,,OLD BEST,PolyR,New Model,WA,,NEW BEST,,DIFF,ALL BEST,,BEST ML,ALL BEST ML,,,,LR,KNN,NN,RF,SVR,POLY,WA,,LR Best,KNN best,NN best,RF best,SVR best,POLY best,WA best
1,27, KNN,,4.208527023,0.544323349,734.5297362,213.8043945,0,0,0,100,100,,,,734.5297362,4.186043738,3.903545037,983.7878559,,3.903545037,,730.3212092,3.903545037,, KNN, KNN,,,, ,3.903545037, , , , , ,, ,3.903545037, , , , , 
1,28, KNN,,31.23462331,6.554759071,1730.156756,602.7291667,0,0,0,100,100,,,,1730.156756,31.31374847,30.5999423,2059.111987,,30.5999423,,1698.922133,30.5999423,, KNN, KNN,,,, ,30.5999423, , , , , ,, ,30.5999423, , , , , 
1,29, LR,,504.203277,173.0339621,1248.701619,506.3475586,0,0,0,100,100,,,,1248.701619,546.5838299,535.9733834,1448.373248,,535.9733834,,744.498342,535.9733834,, LR, LR,,,,535.9733834, , , , , , ,,535.9733834, , , , , , 
1,30, KNN,,1022.630086,525.9452737,2057.726772,843.808138,0,0,0,100,100,,,,2057.726772,1119.204979,982.4418228,2689.969616,,982.4418228,,1035.096686,982.4418228,, KNN, KNN,,,, ,982.4418228, , , , , ,, ,982.4418228, , , , , 
1,31, LR,,1049.628958,500.2504583,783.875798,345.4864583,7,8,7,80,80,,,,783.875798,1131.152493,817.7184868,967.7824136,,817.7184868,,-183.9066156,783.875798,, LR,OLD,,,,817.7184868, , , , , , ,, , , , , , , 
1,32, LR,,1527.719941,321.1564284,1303.959304,292.6049154,5,2,2,66.66666667,66.66666667,,,,1303.959304,1677.498996,1382.919253,1536.207798,,1382.919253,,-223.7606369,1303.959304,, LR,OLD,,,,1382.919253, , , , , , ,, , , , , , , 
1,33, LR,,871.9414695,276.9560844,939.3777018,235.2852214,0,9,0,71.42857143,57.14285714,,,,939.3777018,1058.848615,807.2421398,1012.562854,,807.2421398,,67.43623234,807.2421398,, LR, LR,,,,807.2421398, , , , , , ,,807.2421398, , , , , , 
1,34, LR,,1134.720063,226.0192201,795.1006645,179.5147786,11,9,7,62.5,50,,,,795.1006645,1161.128162,935.9461966,1089.007989,,935.9461966,,-293.9073245,795.1006645,, LR,OLD,,,,935.9461966, , , , , , ,, , , , , , , 
1,35, LR,,966.2481759,209.567932,682.3827958,202.9773763,3,2,1,55.55555556,44.44444444,,,,682.3827958,1151.189881,728.7711989,1056.4234,,728.7711989,,-283.8653801,682.3827958,, LR,OLD,,,,728.7711989, , , , , , ,, , , , , , , 
1,36, LR,,631.5619264,116.1156755,506.8138514,107.0893148,11,3,3,50,40,,,,506.8138514,631.9990302,629.2999502,610.4759073,,610.4759073,,-103.6620558,506.8138514,,WA,OLD,,,, , , , , , ,610.4759073,, , , , , , , 
1,37, NN,,61.28108679,11.00103124,55.77425902,10.22940877,3,1,1,45.45454545,36.36363636,,,,55.77425902,61.58869861,61.4148346,93.47935495,,61.4148346,,-5.506827771,55.77425902,, NN,OLD,,,, , ,61.4148346, , , , ,, , , , , , , 
1,38, KNN,,0.09925775,0.09925775,5.895329272,1.522463353,0,0,0,50,41.66666667,,,,5.895329272,6.729498908,0,84.61808852,,0,,5.796071522,0,, KNN, KNN,,,, ,0, , , , , ,, ,0, , , , , 
1,48, RF,,0,0,15.30768791,4.73768514,0,0,0,53.84615385,46.15384615,,,,15.30768791,0.000104589,0,75.2587095,,0,,15.30768791,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
1,49, RF,,0,0,60.2658615,41.3883016,0,0,0,57.14285714,50,,,,60.2658615,0.131045839,0,396.4437387,,0,,60.2658615,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
1,50, NN,,21.44492304,3.883583302,91.53206747,248.3371745,0,0,0,60,53.33333333,,,,91.53206747,32.53120604,21.4745603,2293.019503,,21.4745603,,70.08714443,21.4745603,, NN, NN,best among other new models,,, , ,21.4745603, , , , ,, , ,21.4745603, , , , 
1,51, KNN,,282.9680323,62.83945132,66.05749153,38.58184408,10,3,3,56.25,50,,,,66.05749153,293.49312,257.3024146,411.8204521,,257.3024146,,-216.9105408,66.05749153,, KNN,OLD,LR,888,, ,257.3024146, , , , , ,, , , , , , , 
1,52, KNN,,387.8414967,143.1712084,358.9935097,141.3850586,1,2,0,52.94117647,47.05882353,,,,358.9935097,576.3976737,506.5415588,419.7073234,,419.7073234,,-28.84798705,358.9935097,,WA,OLD,KNN,650,, , , , , , ,419.7073234,, , , , , , , 
1,53, LR,,482.7455709,119.233417,619.3425277,189.0310221,0,0,0,55.55555556,50,,LR,1054,619.3425277,647.4466913,589.1772747,753.4489587,,589.1772747,,136.5969569,589.1772747,, LR, LR,NN,180,,589.1772747, , , , , , ,,589.1772747, , , , , , 
1,54, RF,,288.8913431,107.8600609,278.5538099,151.948291,1,0,0,52.63157895,52.63157895,,KNN,742,278.5538099,302.9660895,293.072252,887.4229356,,293.072252,,-10.33753327,278.5538099,, RF,OLD,RF,207,, , , ,293.072252, , , ,, , , , , , , 
1,55, KNN,,343.8670776,131.6132293,1250.756198,321.7278646,0,0,0,55,55,,NN,235,1250.756198,432.0209686,307.4894768,2369.943909,,307.4894768,,906.8891203,307.4894768,, KNN, KNN,SVR,97,, ,307.4894768, , , , , ,, ,307.4894768, , , , , 
1,56, RF,,312.5104737,88.38761964,953.633892,243.4154297,0,0,0,57.14285714,57.14285714,,RF,250,953.633892,307.8152887,315.4825541,1467.931924,,307.8152887,,641.1234183,307.8152887,,POLY,POLY,POLY,69,, , , , , ,307.8152887, ,, , , , , ,307.8152887, 
1,57, LR,,729.2569027,205.298961,568.2371864,176.1405924,6,3,3,54.54545455,54.54545455,,SVR,109,568.2371864,850.0415324,724.3152962,591.5277114,,591.5277114,,-23.29052499,568.2371864,,WA,OLD,WA,299,, , , , , , ,591.5277114,, , , , , , , 
1,58, LR,,703.8978167,220.4434681,495.2982603,110.9251628,6,4,4,52.17391304,52.17391304,,POLY,0,495.2982603,925.7047163,883.410627,678.6231649,,678.6231649,,-183.3249046,495.2982603,,WA,OLD,,2390,, , , , , , ,678.6231649,, , , , , , , 
1,59, KNN,,248.9288589,52.83223947,179.1146455,47.35087077,1,1,1,50,50,,,2390,179.1146455,296.7688177,275.1935763,640.8516537,,275.1935763,,-69.81421331,179.1146455,, KNN,OLD,,,, ,275.1935763, , , , , ,, , , , , , , 
1,60, SVR,,3.45486434,0.44757668,175.4956433,44.92242025,0,0,0,52,52,,,,175.4956433,3.991214073,3.44900741,865.4855524,,3.44900741,,172.040779,3.44900741,, SVR, SVR,,,, , , , ,3.44900741, , ,, , , , ,3.44900741, , 
2,27, KNN,,10.2105717,1.637476669,311.6845494,128.0208171,0,0,0,53.84615385,53.84615385,,,,311.6845494,11.71469075,10.3498563,529.9589432,,10.3498563,,301.4739777,10.3498563,, KNN, KNN,,,, ,10.3498563, , , , , ,, ,10.3498563, , , , , 
2,28, LR,,272.6440094,84.70297863,655.4022175,276.7841797,0,0,0,55.55555556,55.55555556,,,,655.4022175,323.6165728,254.5809443,1119.705224,,254.5809443,,382.758208,254.5809443,, LR, LR,best among new and old,,,254.5809443, , , , , , ,,254.5809443, , , , , , 
2,29, LR,,618.3002006,292.506362,622.3659427,340.8420898,0,0,0,57.14285714,57.14285714,,,,622.3659427,709.696183,521.0823658,802.6157237,,521.0823658,,4.065742171,521.0823658,, LR, LR,LR,474,,521.0823658, , , , , , ,,521.0823658, , , , , , 
2,30, KNN,,1182.329837,535.422683,1465.033697,685.8565104,0,0,0,58.62068966,58.62068966,,,,1465.033697,1297.878038,1040.947415,1603.781199,,1040.947415,,282.7038597,1040.947415,, KNN, KNN,KNN,389,, ,1040.947415, , , , , ,, ,1040.947415, , , , , 
2,31, LR,,634.4230634,246.4758937,549.4738696,251.4753743,4,0,0,56.66666667,60,,,,549.4738696,664.4028067,421.6773366,621.8169345,,421.6773366,,-72.34306491,421.6773366,, LR, LR,NN,98,,421.6773366, , , , , , ,,421.6773366, , , , , , 
2,32, KNN,,1161.886955,268.5454948,648.8368054,199.7201986,14,10,10,54.83870968,58.06451613,,,,648.8368054,1237.984893,1027.225918,1048.76359,,1027.225918,,-399.9267841,648.8368054,, KNN,OLD,RF,167,, ,1027.225918, , , , , ,, , , , , , , 
2,33, LR,,1081.858118,169.9714982,884.7404516,175.6288411,2,0,0,53.125,59.375,,,,884.7404516,1131.957885,859.2164603,1158.215869,,859.2164603,,-197.1176667,859.2164603,, LR, LR,SVR,76,,859.2164603, , , , , , ,,859.2164603, , , , , , 
