Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best MAE Value,WA,,NEW BEST,,DIFF,,,,,,,,
1,27,458.886263,515.3031901,382.0157552,363.146875,463.556543,513.1805339,361.7032878,458.297168,359.4545247,366.2023763,215.125293,292.0694661,351.9339193,464.4800781,300.2546875,369.4623047,281.3174479,307.2194987,213.8043945,294.0647786,274.4242188,249.8799316,323.7516276,336.9597005,213.8043945,,0.544323349,381.8745739,,0.544323349,,213.2600712,,GT ZERO,1087,,,,,
1,28,1220.370443,901.7096354,821.8707682,675.311849,827.0086589,909.3197266,773.5113932,932.0369792,688.2938802,954.2744792,745.1772135,754.2138672,875.9239583,962.6432292,602.7291667,674.4211589,687.0549479,711.5592448,653.150651,674.9828776,702.4613932,651.8824219,719.9511719,617.5670573,602.7291667,,6.554759071,787.5442023,,6.554759071,,596.1744076,,max,596.1744076,,,,,
1,29,761.9921875,811.8201823,629.1267578,612.7281901,643.3179036,875.298112,714.0049479,758.5723958,598.2026693,770.021875,657.9486328,630.953125,582.3707682,781.278125,532.7322266,687.9202474,605.908724,604.3614583,506.3475586,706.0528646,598.5723307,537.3546224,679.8085286,536.703418,506.3475586,,173.0339621,589.9715495,,173.0339621,,333.3135965,,,,,,,,
1,30,1337.809766,1306.17487,1101.782813,1165.685156,1117.216276,1432.516927,1263.088542,1584.380208,1102.932422,1601.937891,1164.214714,1211.573828,975.2841797,1280.166927,995.1266927,1162.864844,1083.754427,1532.927083,1254.006901,1089.75625,1204.291146,843.808138,1307.592578,1211.019141,843.808138,,525.9452737,993.2307292,,525.9452737,,317.8628644,,,,,,,,
1,31,534.6589518,519.8979167,345.4864583,386.1075521,406.8672526,434.2592773,427.6986979,842.0357422,671.0086589,1122.228125,565.4931641,488.5828125,993.6279948,884.8544922,589.9164063,655.5277995,731.9597005,753.9246745,503.9118815,448.7295573,409.8255208,812.8865885,522.867513,547.0639974,345.4864583,,500.2504583,451.3822591,,451.3822591,,-105.8958008,,,,,,,,
1,32,381.1969076,435.8226563,352.6648112,393.081901,365.5473633,354.2250977,455.1421549,329.5147461,344.6158203,355.0688802,357.657194,321.9957031,596.3165365,315.2614909,559.3296224,360.581901,323.7111654,321.249349,343.3642253,324.8010091,292.6049154,527.7683594,345.3288086,542.6528971,292.6049154,,321.1564284,361.6460286,,321.1564284,,-28.55151307,,,,,,,,
1,33,300.0632487,319.0573893,308.1997396,298.4284505,308.4119792,301.3137695,274.1004557,267.0631673,256.7206868,258.4150065,267.4135091,265.4301107,379.6542318,247.0947917,434.1985352,322.8988932,285.943457,249.7126139,253.89375,355.802474,254.964974,359.4813151,235.2852214,335.5774089,235.2852214,,276.9560844,277.901237,,276.9560844,,-41.67086304,,,,,,,,
1,34,260.8307454,274.1760091,258.7777832,238.0037923,273.0486003,254.5838216,179.5147786,226.6969727,220.5801107,222.6183431,183.1776693,216.3405273,285.4934245,221.4737305,491.7318685,296.2991211,221.5001465,220.7343099,307.7210938,257.9919596,211.1981934,291.3526693,219.0210286,339.6450846,179.5147786,,226.0192201,245.2458659,,226.0192201,,-46.50444147,,,,,,,,
1,35,286.2961589,258.8141439,245.4300781,253.047526,255.3804362,250.1886393,202.9773763,187.7046061,216.6273112,215.858903,147.4325846,220.3832682,254.7696289,218.6199382,521.3411784,304.241569,212.268457,214.0104329,208.396403,242.9420573,221.5708659,234.2623698,216.2654948,382.7964193,147.4325846,,209.567932,253.950944,,209.567932,,-62.1353474,,,,126.2031859,-,132.6148287,,-5.08041277
1,36,266.8170898,147.3714193,146.3726074,155.3561361,153.9671387,143.9766764,126.7165365,158.6085938,120.6786621,121.0410645,100.3848958,124.6151286,119.7917562,127.1983561,126.0377279,406.4236328,116.4521973,116.2360107,107.0893148,279.0068359,117.8847982,117.1475911,115.2518066,112.2444255,100.3848958,,116.1156755,126.2363281,,116.1156755,,-15.73077962,,,,,,,,
