Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,
1,27, POLY, RF,4.208527023,0.544323349,734.5297362,213.8043945,0,0,0,100,100,,,
1,28, POLY, SVR,31.23462331,6.554759071,1730.156756,602.7291667,0,0,0,100,100,,,
1,29, KNN, KNN,504.203277,173.0339621,1248.701619,506.3475586,0,0,0,100,100,,,
1,30, KNN, KNN,1022.630086,525.9452737,2057.726772,843.808138,0,0,0,100,100,,,
1,31, KNN, LR,1049.628958,500.2504583,783.875798,345.4864583,7,8,7,80,80,,,
1,32, LR, SVR,1527.719941,321.1564284,1303.959304,292.6049154,5,2,2,66.66666667,66.66666667,,,
1,33, LR, SVR,871.9414695,276.9560844,939.3777018,235.2852214,0,9,0,71.42857143,57.14285714,,,
1,34, RF, SVR,1134.720063,226.0192201,795.1006645,179.5147786,11,9,7,62.5,50,,,
1,35, LR, LR,966.2481759,209.567932,682.3827958,202.9773763,3,2,1,55.55555556,44.44444444,,,
1,36, POLY, SVR,631.5619264,116.1156755,506.8138514,107.0893148,11,3,3,50,40,,,
1,37, NN, SVR,61.28108679,11.00103124,55.77425902,10.22940877,3,1,1,45.45454545,36.36363636,,,
1,38, SVR, SVR,0.09925775,0.09925775,5.895329272,1.522463353,0,0,0,50,41.66666667,,,
1,48, RF, RF,0,0,15.30768791,4.73768514,0,0,0,53.84615385,46.15384615,,,
1,49, RF, RF,0,0,60.2658615,41.3883016,0,0,0,57.14285714,50,,,
1,50, NN, SVR,21.44492304,3.883583302,91.53206747,248.3371745,0,0,0,60,53.33333333,,,
1,51, LR, SVR,282.9680323,62.83945132,66.05749153,38.58184408,10,3,3,56.25,50,,,
1,52, LR, KNN,387.8414967,143.1712084,358.9935097,141.3850586,1,2,0,52.94117647,47.05882353,,,
1,53, KNN, KNN,482.7455709,119.233417,619.3425277,189.0310221,0,0,0,55.55555556,50,,LR,296
1,54, KNN, SVR,288.8913431,107.8600609,278.5538099,151.948291,1,0,0,52.63157895,52.63157895,,KNN,1327
1,55, KNN, KNN,343.8670776,131.6132293,1250.756198,321.7278646,0,0,0,55,55,,NN,32
1,56, RF, SVR,312.5104737,88.38761964,953.633892,243.4154297,0,0,0,57.14285714,57.14285714,,RF,201
1,57, KNN, KNN,729.2569027,205.298961,568.2371864,176.1405924,6,3,3,54.54545455,54.54545455,,SVR,533
1,58, LR, LR,703.8978167,220.4434681,495.2982603,110.9251628,6,4,4,52.17391304,52.17391304,,POLY,1
1,59, LR, KNN,248.9288589,52.83223947,179.1146455,47.35087077,1,1,1,50,50,,,2390
1,60, RF, RF,3.45486434,0.44757668,175.4956433,44.92242025,0,0,0,52,52,,,
2,27, KNN, RF,10.2105717,1.637476669,311.6845494,128.0208171,0,0,0,53.84615385,53.84615385,,,
2,28, LR, SVR,272.6440094,84.70297863,655.4022175,276.7841797,0,0,0,55.55555556,55.55555556,,,
2,29, KNN, KNN,618.3002006,292.506362,622.3659427,340.8420898,0,0,0,57.14285714,57.14285714,,,
2,30, KNN, KNN,1182.329837,535.422683,1465.033697,685.8565104,0,0,0,58.62068966,58.62068966,,,
2,31, KNN, KNN,634.4230634,246.4758937,549.4738696,251.4753743,4,0,0,56.66666667,60,,,
2,32, KNN, SVR,1161.886955,268.5454948,648.8368054,199.7201986,14,10,10,54.83870968,58.06451613,,,
2,33, KNN, KNN,1081.858118,169.9714982,884.7404516,175.6288411,2,0,0,53.125,59.375,,,
2,34, KNN, SVR,781.2362017,151.3055926,693.8538991,146.3785156,9,1,1,51.51515152,57.57575758,,,
2,35, LR, SVR,700.3445067,160.227852,585.2982715,121.5272461,4,5,2,50,55.88235294,,,
2,36, KNN, SVR,313.1099517,67.39980313,228.3149232,46.446875,13,8,7,48.57142857,54.28571429,,,
2,37, NN, SVR,23.60413909,4.949617198,21.42094842,6.573719788,1,0,0,47.22222222,55.55555556,,,
2,38, SVR, RF,1.532054272,0.231642002,14.58352604,3.640156555,0,0,0,48.64864865,56.75675676,,,
2,39, RF, RF,0.110715681,0.014293333,5.499983909,1.192274857,0,0,0,50,57.89473684,,,
2,48, RF, RF,0.00285,0.00285,35.78504256,9.324131266,0,0,0,51.28205128,58.97435897,,,
2,49, SVR, SVR,0.048560755,0.048560755,224.151054,75.57641602,0,0,0,52.5,60,,,
2,50, KNN, KNN,14.10599802,2.665516901,116.2739044,36.4697998,0,0,0,53.65853659,60.97560976,,,
2,51, NN, SVR,175.9753848,29.24662355,185.4846299,46.16116536,0,0,0,54.76190476,61.9047619,,,
2,52, KNN, SVR,411.9090692,77.82892364,177.9487005,80.43969727,13,0,0,53.48837209,62.79069767,,,
2,53, NN, SVR,62.04782459,17.16847247,28.7054832,12.04913635,4,2,2,52.27272727,61.36363636,,,
2,54, NN, SVR,265.1783388,60.57230072,189.897231,61.89961344,2,0,0,51.11111111,62.22222222,,,
2,55, KNN, SVR,493.1166225,152.5101512,503.4867426,183.3118327,0,0,0,52.17391304,63.04347826,,,
2,56, KNN, SVR,1263.177417,291.1266007,682.9077537,224.4495117,10,5,3,51.06382979,61.70212766,,,
2,57, LR, KNN,476.2487802,165.3496115,631.8196209,169.0649414,0,0,0,52.08333333,62.5,,,
2,58, KNN, KNN,430.7550669,120.2682773,435.4172137,118.5197428,0,1,0,53.06122449,61.2244898,,,
2,59, NN, SVR,45.56834131,10.93294789,41.17112408,11.82706197,2,0,0,52,62,,,
2,60, SVR, KNN,0.69565662,0.089979998,8.887787882,2.11168836,0,0,0,52.94117647,62.74509804,,,
3,27, KNN, SVR,23.67387679,5.759588959,255.0026307,95.63138835,0,0,0,53.84615385,63.46153846,,,
3,28, KNN, KNN,371.3422406,109.9109955,310.0406694,146.8827148,4,0,0,52.83018868,64.1509434,,,
3,29, LR, LR,960.0996334,449.1829672,737.3646045,513.5987305,1,0,0,51.85185185,64.81481481,,,
3,30, KNN, KNN,968.6229145,382.4820009,773.3924403,349.3424805,4,3,3,50.90909091,63.63636364,,,
3,31, KNN, KNN,559.5280259,188.8513371,473.2127429,154.9811198,4,3,3,50,62.5,,,
3,32, KNN, KNN,470.9977962,114.0614348,292.1481787,101.2817952,4,3,3,49.12280702,61.40350877,,,
3,33, KNN, KNN,349.2268494,89.32822772,273.979105,75.04710286,3,3,3,48.27586207,60.34482759,,,
3,34, KNN, KNN,613.1400402,121.214385,568.0094483,112.5082113,5,3,3,47.45762712,59.3220339,,,
3,35, LR, SVR,365.9486437,106.9548628,322.2270421,74.99632161,4,7,3,46.66666667,58.33333333,,,
3,36, KNN, SVR,123.8699115,38.85764789,113.1567037,27.21572469,3,8,3,45.90163934,57.37704918,,,
3,37, KNN, SVR,51.8309007,11.04318905,60.34158193,12.60455017,0,0,0,46.77419355,58.06451613,,,
3,38, NN, SVR,27.07806237,5.123627648,12.70983576,2.631769816,4,1,1,46.03174603,57.14285714,,,
3,39, NN, RF,3.452920219,0.449529998,14.87085136,3.889246877,0,0,0,46.875,57.8125,,,
3,48, SVR, SVR,0.335327323,0.070906166,81.26954573,21.70847778,0,0,0,47.69230769,58.46153846,,,
3,49, SVR, SVR,4.311489525,0.598844452,117.5546416,27.02521769,0,0,0,48.48484848,59.09090909,,,
3,50, SVR, SVR,2.194108624,0.425569486,28.66559848,11.36015218,0,0,0,49.25373134,59.70149254,,,
