Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,ALL BEST,,BEST ML,ALL BEST ML,,,,LR,KNN,NN,RF,SVR,POLY,WA,,LR Best,KNN best,NN best,RF best,SVR best,POLY best,WA best
1,27, POLY, RF,4.208527023,0.544323349,734.5297362,213.8043945,0,0,0,100,100,,,,734.5297362,,4.208527023,983.7878559,,4.208527023,,730.3212092,4.208527023,, POLY, POLY,,,, , , , , ,4.208527023, ,, , , , , ,4.208527023, 
1,28, POLY, SVR,31.23462331,6.554759071,1730.156756,602.7291667,0,0,0,100,100,,,,1730.156756,,31.23462331,2059.111987,,31.23462331,,1698.922133,31.23462331,, POLY, POLY,,,, , , , , ,31.23462331, ,, , , , , ,31.23462331, 
1,29, KNN, KNN,504.203277,173.0339621,1248.701619,506.3475586,0,0,0,100,100,,,,1248.701619,,504.203277,1448.373248,,504.203277,,744.498342,504.203277,, KNN, KNN,,,, ,504.203277, , , , , ,, ,504.203277, , , , , 
1,30, KNN, KNN,1022.630086,525.9452737,2057.726772,843.808138,0,0,0,100,100,,,,2057.726772,,1022.630086,2689.969616,,1022.630086,,1035.096686,1022.630086,, KNN, KNN,,,, ,1022.630086, , , , , ,, ,1022.630086, , , , , 
1,31, KNN, LR,1049.628958,500.2504583,783.875798,345.4864583,7,8,7,80,80,,,,783.875798,,1049.628958,967.7824136,,967.7824136,,-183.9066156,783.875798,,WA,OLD,,,, , , , , , ,967.7824136,, , , , , , , 
1,32, LR, SVR,1527.719941,321.1564284,1303.959304,292.6049154,5,2,2,66.66666667,66.66666667,,,,1303.959304,,1527.719941,1536.207798,,1527.719941,,-223.7606369,1303.959304,, LR,OLD,,,,1527.719941, , , , , , ,, , , , , , , 
1,33, LR, SVR,871.9414695,276.9560844,939.3777018,235.2852214,0,9,0,71.42857143,57.14285714,,,,939.3777018,,871.9414695,1012.562854,,871.9414695,,67.43623234,871.9414695,, LR, LR,,,,871.9414695, , , , , , ,,871.9414695, , , , , , 
1,34, RF, SVR,1134.720063,226.0192201,795.1006645,179.5147786,11,9,7,62.5,50,,,,795.1006645,,1134.720063,1089.007989,,1089.007989,,-293.9073245,795.1006645,,WA,OLD,,,, , , , , , ,1089.007989,, , , , , , , 
1,35, LR, LR,966.2481759,209.567932,682.3827958,202.9773763,3,2,1,55.55555556,44.44444444,,,,682.3827958,,966.2481759,1056.4234,,966.2481759,,-283.8653801,682.3827958,, LR,OLD,,,,966.2481759, , , , , , ,, , , , , , , 
1,36, POLY, SVR,631.5619264,116.1156755,506.8138514,107.0893148,11,3,3,50,40,,,,506.8138514,,631.5619264,610.4759073,,610.4759073,,-103.6620558,506.8138514,,WA,OLD,,,, , , , , , ,610.4759073,, , , , , , , 
1,37, NN, SVR,61.28108679,11.00103124,55.77425902,10.22940877,3,1,1,45.45454545,36.36363636,,,,55.77425902,,61.28108679,93.47935495,,61.28108679,,-5.506827771,55.77425902,, NN,OLD,,,, , ,61.28108679, , , , ,, , , , , , , 
1,38, SVR, SVR,0.09925775,0.09925775,5.895329272,1.522463353,0,0,0,50,41.66666667,,,,5.895329272,,0.09925775,84.61808852,,0.09925775,,5.796071522,0.09925775,, SVR, SVR,,,, , , , ,0.09925775, , ,, , , , ,0.09925775, , 
1,48, RF, RF,0,0,15.30768791,4.73768514,0,0,0,53.84615385,46.15384615,,,,15.30768791,,0,75.2587095,,0,,15.30768791,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
1,49, RF, RF,0,0,60.2658615,41.3883016,0,0,0,57.14285714,50,,,,60.2658615,,0,396.4437387,,0,,60.2658615,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
1,50, NN, SVR,21.44492304,3.883583302,91.53206747,248.3371745,0,0,0,60,53.33333333,,,,91.53206747,,21.44492304,2293.019503,,21.44492304,,70.08714443,21.44492304,, NN, NN,best among other new models,,, , ,21.44492304, , , , ,, , ,21.44492304, , , , 
1,51, LR, SVR,282.9680323,62.83945132,66.05749153,38.58184408,10,3,3,56.25,50,,,,66.05749153,,282.9680323,411.8204521,,282.9680323,,-216.9105408,66.05749153,, LR,OLD,LR,522,,282.9680323, , , , , , ,, , , , , , , 
1,52, LR, KNN,387.8414967,143.1712084,358.9935097,141.3850586,1,2,0,52.94117647,47.05882353,,,,358.9935097,,387.8414967,419.7073234,,387.8414967,,-28.84798705,358.9935097,, LR,OLD,KNN,1002,,387.8414967, , , , , , ,, , , , , , , 
1,53, KNN, KNN,482.7455709,119.233417,619.3425277,189.0310221,0,0,0,55.55555556,50,,LR,641,619.3425277,,482.7455709,753.4489587,,482.7455709,,136.5969569,482.7455709,, KNN, KNN,NN,147,, ,482.7455709, , , , , ,, ,482.7455709, , , , , 
1,54, KNN, SVR,288.8913431,107.8600609,278.5538099,151.948291,1,0,0,52.63157895,52.63157895,,KNN,1276,278.5538099,,288.8913431,887.4229356,,288.8913431,,-10.33753327,278.5538099,, KNN,OLD,RF,155,, ,288.8913431, , , , , ,, , , , , , , 
1,55, KNN, KNN,343.8670776,131.6132293,1250.756198,321.7278646,0,0,0,55,55,,NN,157,1250.756198,,343.8670776,2369.943909,,343.8670776,,906.8891203,343.8670776,, KNN, KNN,SVR,131,, ,343.8670776, , , , , ,, ,343.8670776, , , , , 
1,56, RF, SVR,312.5104737,88.38761964,953.633892,243.4154297,0,0,0,57.14285714,57.14285714,,RF,165,953.633892,,312.5104737,1467.931924,,312.5104737,,641.1234183,312.5104737,, RF, RF,POLY,14,, , , ,312.5104737, , , ,, , , ,312.5104737, , , 
1,57, KNN, KNN,729.2569027,205.298961,568.2371864,176.1405924,6,3,3,54.54545455,54.54545455,,SVR,135,568.2371864,,729.2569027,591.5277114,,591.5277114,,-23.29052499,568.2371864,,WA,OLD,WA,419,, , , , , , ,591.5277114,, , , , , , , 
1,58, LR, LR,703.8978167,220.4434681,495.2982603,110.9251628,6,4,4,52.17391304,52.17391304,,POLY,16,495.2982603,,703.8978167,678.6231649,,678.6231649,,-183.3249046,495.2982603,,WA,OLD,,2390,, , , , , , ,678.6231649,, , , , , , , 
1,59, LR, KNN,248.9288589,52.83223947,179.1146455,47.35087077,1,1,1,50,50,,,2390,179.1146455,,248.9288589,640.8516537,,248.9288589,,-69.81421331,179.1146455,, LR,OLD,,,,248.9288589, , , , , , ,, , , , , , , 
1,60, RF, RF,3.45486434,0.44757668,175.4956433,44.92242025,0,0,0,52,52,,,,175.4956433,,3.45486434,865.4855524,,3.45486434,,172.040779,3.45486434,, RF, RF,,,, , , ,3.45486434, , , ,, , , ,3.45486434, , , 
2,27, KNN, RF,10.2105717,1.637476669,311.6845494,128.0208171,0,0,0,53.84615385,53.84615385,,,,311.6845494,,10.2105717,529.9589432,,10.2105717,,301.4739777,10.2105717,, KNN, KNN,,,, ,10.2105717, , , , , ,, ,10.2105717, , , , , 
2,28, LR, SVR,272.6440094,84.70297863,655.4022175,276.7841797,0,0,0,55.55555556,55.55555556,,,,655.4022175,,272.6440094,1119.705224,,272.6440094,,382.758208,272.6440094,, LR, LR,best among new and old,,,272.6440094, , , , , , ,,272.6440094, , , , , , 
2,29, KNN, KNN,618.3002006,292.506362,622.3659427,340.8420898,0,0,0,57.14285714,57.14285714,,,,622.3659427,,618.3002006,802.6157237,,618.3002006,,4.065742171,618.3002006,, KNN, KNN,LR,269,, ,618.3002006, , , , , ,, ,618.3002006, , , , , 
2,30, KNN, KNN,1182.329837,535.422683,1465.033697,685.8565104,0,0,0,58.62068966,58.62068966,,,,1465.033697,,1182.329837,1603.781199,,1182.329837,,282.7038597,1182.329837,, KNN, KNN,KNN,547,, ,1182.329837, , , , , ,, ,1182.329837, , , , , 
2,31, KNN, KNN,634.4230634,246.4758937,549.4738696,251.4753743,4,0,0,56.66666667,60,,,,549.4738696,,634.4230634,621.8169345,,621.8169345,,-72.34306491,549.4738696,,WA,OLD,NN,84,, , , , , , ,621.8169345,, , , , , , , 
2,32, KNN, SVR,1161.886955,268.5454948,648.8368054,199.7201986,14,10,10,54.83870968,58.06451613,,,,648.8368054,,1161.886955,1048.76359,,1048.76359,,-399.9267841,648.8368054,,WA,OLD,RF,140,, , , , , , ,1048.76359,, , , , , , , 
2,33, KNN, KNN,1081.858118,169.9714982,884.7404516,175.6288411,2,0,0,53.125,59.375,,,,884.7404516,,1081.858118,1158.215869,,1081.858118,,-197.1176667,884.7404516,, KNN,OLD,SVR,103,, ,1081.858118, , , , , ,, , , , , , , 
2,34, KNN, SVR,781.2362017,151.3055926,693.8538991,146.3785156,9,1,1,51.51515152,57.57575758,,,,693.8538991,,781.2362017,778.5808457,,778.5808457,,-84.7269466,693.8538991,,WA,OLD,POLY,12,, , , , , , ,778.5808457,, , , , , , , 
2,35, LR, SVR,700.3445067,160.227852,585.2982715,121.5272461,4,5,2,50,55.88235294,,,,585.2982715,,700.3445067,723.9646861,,700.3445067,,-115.0462351,585.2982715,, LR,OLD,WA,62,,700.3445067, , , , , , ,, , , , , , , 
2,36, KNN, SVR,313.1099517,67.39980313,228.3149232,46.446875,13,8,7,48.57142857,54.28571429,,,,228.3149232,,313.1099517,291.5047741,,291.5047741,,-63.18985089,228.3149232,,WA,OLD,,1217,, , , , , , ,291.5047741,, , , , , , , 
2,37, NN, SVR,23.60413909,4.949617198,21.42094842,6.573719788,1,0,0,47.22222222,55.55555556,,,,21.42094842,,23.60413909,62.77190638,,23.60413909,,-2.183190674,21.42094842,, NN,OLD,OLD,1173,, , ,23.60413909, , , , ,, , , , , , , 
2,38, SVR, RF,1.532054272,0.231642002,14.58352604,3.640156555,0,0,0,48.64864865,56.75675676,,,,14.58352604,,1.532054272,189.106093,,1.532054272,,13.05147177,1.532054272,, SVR, SVR,,,, , , , ,1.532054272, , ,, , , , ,1.532054272, , 
2,39, RF, RF,0.110715681,0.014293333,5.499983909,1.192274857,0,0,0,50,57.89473684,,,,5.499983909,,0.110715681,133.4380474,,0.110715681,,5.389268228,0.110715681,, RF, RF,,,, , , ,0.110715681, , , ,, , , ,0.110715681, , , 
2,48, RF, RF,0.00285,0.00285,35.78504256,9.324131266,0,0,0,51.28205128,58.97435897,,,,35.78504256,,0.00285,286.8088154,,0.00285,,35.78219256,0.00285,, RF, RF,,,, , , ,0.00285, , , ,, , , ,0.00285, , , 
2,49, SVR, SVR,0.048560755,0.048560755,224.151054,75.57641602,0,0,0,52.5,60,,,,224.151054,,0.048560755,546.2241733,,0.048560755,,224.1024932,0.048560755,, SVR, SVR,,,, , , , ,0.048560755, , ,, , , , ,0.048560755, , 
